Location,Price_Period,Date_Added_Updated,Description,Serviced,Bed_Bath_Toilet
"Oke Afa, Ajao Estate Isolo Lagos","800,000/year","  Updated 02 Feb 2023, Added 20 May 2022 ", FOR RENT: TO LET. 2 BEDROOM FLAT WITH POP CEILING INTERLOCK WARDROBE DOWNSTAI.. Read more ,,0 beds0 baths0 Toilets
Ayobo Ipaja Lagos,"300,000/year","  Updated 02 Feb 2023, Added 29 Jul 2022 ", FOR RENT: Spacious decent 2 bedroom flat big kitchen with cabinets nd store 3 toilet 2 ten.. Read more ,,0 beds0 baths0 Toilets
"Oba Musa Estate, Idado Agungi Lekki Lagos","4,500,000/year",  Added 16 Feb 2023 ," FOR RENT: For Rent in Oba Amusa Estate, Idado, Agungi, Lekki Axis* A well-maintained .. Read more ",,5 beds5 baths6 Toilets
Shagari Estate Ipaja Lagos,"350,000/year","  Updated 02 Feb 2023, Added 19 Oct 2022 ", FOR RENT: newly built pop ceiling all tiles floor good environment at Shagari estate Room .. Read more ,Newly Built,0 beds1 baths1 Toilets
Chevron Lekki Lagos,"5,000,000/year","  Updated 02 Feb 2023, Added 20 Dec 2022 ", FOR RENT: Beach view estate igu-efor 4 bedroom duplex alone in the compound #5m Lekki Chev.. Read more ,,0 beds0 baths0 Toilets
Aiyetoro Ayobo Ipaja Lagos,"160,000/year","  Updated 02 Feb 2023, Added 12 Aug 2022 ", FOR RENT: Renovated mini flat all tiles floor upstairs fenced gate water at Aiyetoro ogun .. Read more ,,0 beds0 baths0 Toilets
Ikeja Lagos,"3,300,000/year","  Updated 02 Feb 2023, Added 27 Jul 2022 ", FOR RENT: The 3bedroom flat ensuite off Toyin for 3.3m.. Read more ,,0 beds0 baths0 Toilets
"First Unity Estate , Badore Badore Ajah Lagos","40,000/day","  Updated 19 Feb 2023, Added 18 Jan 2022 ", FOR SHORTLET: This 3 bedroom apartment is elegantly and tastefully finished. It is situated in.. Read more,FurnishedServiced,3 beds2 baths3 Toilets
Orchid Hotel Road 2nd Toll Gate Lekki Chevron Lekki Lagos,"2,000,000/year","  Updated 02 Feb 2023, Added 28 Dec 2022 ", FOR RENT: Very nice and Spacious 2bedroom flat all rooms ensuite (Groundfloor) Locat.. Read more ,,2 beds2 baths3 Toilets
Ayobo Ipaja Lagos,"300,000/year","  Updated 02 Feb 2023, Added 22 Jan 2023 ", FOR RENT: Spacious good 3 bedroom flat all tiles floor big sitting room with dining space .. Read more ,Furnished,3 beds0 baths3 Toilets
Magodo Gra Phase 2 Kosofe Ikosi Lagos,"1,500,000/year","  Updated 02 Feb 2023, Added 27 Oct 2022 ", FOR RENT: Decent and standard 2bedroom with all room ensuite in a serene environment of Ma.. Read more ,,0 beds0 baths0 Toilets
Don Castal Estate Agungi Lekki Lagos,"5,500,000/year",  Added 16 Feb 2023 , FOR RENT: FOR LEASE: A WELL-FINISHED AND FULLY FURNISHED 4-BEDROOM CORNERPIECE TERRACE DUP.. Read more ,FurnishedServicedNewly Built,4 beds4 baths5 Toilets
Akowonjo Alimosho Lagos,"1,000,000/year","  Updated 02 Feb 2023, Added 03 Nov 2022 ", FOR RENT: 2 bedroom flat upstairs with all rooms Ensuite 1m with all rooms ensuite at Silv.. Read more ,,0 beds0 baths0 Toilets
Ilaje Bariga Area Bariga Lagos,"400,000/year","  Updated 02 Feb 2023, Added 18 Oct 2022 "," FOR RENT: My direct to the landlord Excutive super decent n standard self con with pop,.. Read more ",Newly Built,0 beds0 baths0 Toilets
Itele Ogun State Ipaja Ipaja Lagos,"130,000/year","  Updated 02 Feb 2023, Added 29 Jul 2022 ", FOR RENT: Decent Mini flat all tiles floor 2 toilet big compound at Itele ogun state close.. Read more ,,0 beds0 baths0 Toilets
Egbeda Akowonjo Akowonjo Alimosho Lagos,"1,500,000/year","  Updated 02 Feb 2023, Added 12 May 2022 ", FOR RENT: Newly built spacious Hall space with enough parking space facing the road with p.. Read more ,FurnishedNewly Built,0 beds0 baths0 Toilets
Orchid Road Ikota Lekki Lagos,"850,000/year","  Updated 02 Feb 2023, Added 14 Jan 2023 "," FOR RENT: BRAND NEW shared apartment With 24hours Light, Swimming Pool & Gym @EMCEL COUR.. Read more ",,1 beds1 baths1 Toilets
