Location,Price_Period,Date_Added_Updated,Description,Serviced,Bed_Bath_Toilet
Old Ikoyi Ikoyi Lagos,"8,000,000/year","  Updated 09 Feb 2023, Added 16 Jan 2023 ", FOR RENT: DIRECT CASH-READY CLIENTS ONLY. PLEASE BE CERTAIN YOU HAVE THE CAPACITY TO PAY .. Read more ,Serviced,3 beds2 baths3 Toilets
Old Ikoyi Ikoyi Lagos,"15,500,000/year","  Updated 09 Feb 2023, Added 16 Jan 2023 ", FOR RENT: FURNISHED PREMIUM 3 BEDROOM APARTMENT + BQ + SWIMMING POOL+ GYM IN CENTRAL IKOYI.. Read more ,Serviced,3 beds3 baths4 Toilets
Banana Island Ikoyi Lagos,"15,000,000/year","  Updated 09 Feb 2023, Added 21 Dec 2022 ", FOR RENT: DIRECT CASH READY CLIENTS ONLY 4 BEDROOM TERRACE HOUSE + BQ + SWIMMING POOL +.. Read more ,Serviced,4 beds4 baths5 Toilets
Banana Island Ikoyi Lagos,"13,000,000/year","  Updated 09 Feb 2023, Added 23 Jan 2023 ", FOR RENT: ********DIRECT CLIENTS READY TO MAKE PAYMENT ONLY*********** REASONABLY PRICE.. Read more ,Serviced,3 beds3 baths4 Toilets
Old Ikoyi Ikoyi Lagos,"20,000,000/year","  Updated 09 Feb 2023, Added 29 Jan 2023 ", FOR RENT: SEAMLESS TRANSACTIONS ONLY ONE OF THE BEST 2 & 3 BEDROOM APARTMENTS IN THE MA.. Read more ,Serviced,3 beds3 baths4 Toilets
Banana Island Ikoyi Lagos,"14,000,000/year","  Updated 09 Feb 2023, Added 29 Jan 2023 ", FOR RENT: DIRECT CASH-READY CLIENTS ONLY 5 BEDROOM SEMI-DETACHED TERRACE HOUSE + BQ + S.. Read more ,Serviced,5 beds5 baths6 Toilets
Off Bourdillon Road Ikoyi Lagos,"15,000,000/year","  Updated 09 Feb 2023, Added 27 Jan 2023 ", FOR RENT: HIGHLY SERENE 4 BEDROOM LAGOON VIEW APARTMENT + BQ + JETTY + SWIMMING POOL + SQU.. Read more ,Serviced,4 beds4 baths5 Toilets
Awolowo Road Ikoyi Lagos,"80,000/sqm","  Updated 09 Feb 2023, Added 06 Sep 2022 ", FOR RENT: DIRECT CASH READY CLIENTS ONLY WELL LOCATED & NEWLY BUILT OFFICE SPACES ON IK.. Read more ,,0 beds2 baths2 Toilets
Banana Island Ikoyi Lagos,"15,000,000/year","  Updated 09 Feb 2023, Added 16 Jan 2023 ", FOR RENT: Direct cash-ready clients only Great deal! Well sized & reasonable 4 bedroom .. Read more ,Serviced,3 beds3 baths4 Toilets
Banana Island Ikoyi Lagos,"18,000,000/year","  Updated 09 Feb 2023, Added 05 Jan 2023 ", FOR RENT: DIRECT & READY CLIENTS ONLY!!! SEAMLESS TRANSACTIONS! PRINCE ADEMOLA OSINU.. Read more ,,4 beds4 baths5 Toilets
Parkview Estate Ikoyi Lagos,"6,500,000/year","  Updated 09 Feb 2023, Added 16 Jan 2023 ", FOR RENT: Direct clients with ready payment. Please call if you have the capacity to make .. Read more ,ServicedNewly Built,3 beds3 baths4 Toilets
Ikoyi Lagos,"16,000,000/year","  Updated 09 Feb 2023, Added 27 Jan 2023 ", FOR RENT: Direct Payment Ready Clients Only New & Well Priced family-friendly 4 bedroom.. Read more ,Serviced,4 beds4 baths5 Toilets
Banana Island Ikoyi Lagos,"25,000,000/year","  Updated 09 Feb 2023, Added 27 Jan 2023 ", FOR RENT: DIRECT CASH READY CLIENTS ONLY SEAMLESS TRANSACTIONS ONLY LUXURY WATERFRON.. Read more ,Serviced,4 beds3 baths4 Toilets
Old Ikoyi Ikoyi Lagos,"13,000,000/year","  Updated 09 Feb 2023, Added 16 Jan 2023 ", FOR RENT: DIRECT CASH READY CLIENTS ONLY. Please be certain you have the capacity to p.. Read more ,Serviced,3 beds3 baths4 Toilets
Ikoyi Lagos,"9,000,000/year","  Updated 09 Feb 2023, Added 08 Nov 2022 ", FOR RENT: DIRECT CASH-READY CLIENTS ONLY. FOR AGENTS: PLEASE NOTE THAT PAYING CLIENTS (.. Read more ,,4 beds4 baths5 Toilets
Banana Island Estate Ikoyi Lagos,"11,000,000/year","  Updated 09 Feb 2023, Added 16 Dec 2022 ", FOR RENT: DIRECT CASH READY CLIENTS ONLY Luxury 3 bedroom apartment + BQ + + Pool + et.. Read more ,Serviced,3 beds3 baths4 Toilets
Banana Island Ikoyi Lagos,"15,000,000/year","  Updated 09 Feb 2023, Added 26 Dec 2022 ", FOR RENT: *********direct cash ready clients only************ Luxury 4 bedroom terrace .. Read more ,Serviced,4 beds4 baths5 Toilets
Central Ikoyi Ikoyi Lagos,"12,000,000/year","  Updated 09 Feb 2023, Added 27 Jan 2023 ", FOR RENT: CASH READY CLIENTS ONLY! NEWLY UPGRADED 4 BEDROOM PENTHOUSE APARTMENT ON 2 FL.. Read more ,Serviced,4 beds4 baths5 Toilets
Banana Island Ikoyi Lagos,"11,000,000/year","  Updated 09 Feb 2023, Added 16 Jan 2023 ", FOR RENT: direct cash ready clients Luxury 3 bedroom apartment + bq + + pool + etc in B.. Read more ,Serviced,3 beds3 baths4 Toilets
Ikoyi Lagos,"20,000,000/year","  Updated 09 Feb 2023, Added 27 Jan 2023 ", FOR RENT: SEAMLESS TRANSACTIONS ONLY DIRECT CASH READY CLIENTS ONLY 4 BEDROOM SEMI-D.. Read more ,Serviced,4 beds4 baths5 Toilets
Old Ikoyi Ikoyi Lagos,"27,000,000/year","  Updated 09 Feb 2023, Added 27 Jan 2023 ", FOR RENT: DIRECT CASH READY CLIENTS ONLY SERVICED DETACHED 5 BEDROOM HOUSE IN A MINI ES.. Read more ,Serviced,5 beds4 baths5 Toilets
Banana Island Ikoyi Lagos,"17,500,000/year","  Updated 09 Feb 2023, Added 27 Jan 2023 ", FOR RENT: DIRECT CASH-READY CLIENTS ONLY SEAMLESS TRANSACTIONS ONLY I HAVE 3 NUMBERS.. Read more ,Serviced,5 beds5 baths6 Toilets
Parkview Estate Ikoyi Lagos,"8,500,000/year","  Updated 09 Feb 2023, Added 05 Jan 2023 ", FOR RENT: Premium 4 bedroom terrace house+ bq+ Parking for 4 Cars + swimming pool + etc in.. Read more ,Serviced,4 beds4 baths5 Toilets
