Location,Price_Period,Date_Added_Updated,Description,Serviced,Bed_Bath_Toilet
Mini Estate Chevron Lekki Lagos,"3,000,000/year","  Updated 14 Feb 2023, Added 26 Dec 2022 ", FOR RENT: 2 bedroom Flat / Apartment for rent Mini Estate chevron Lekki Lagos.. Read more ,Serviced,2 beds2 baths3 Toilets
Silverand Estate Sangotedo Ajah Lagos,"800,000/year","  Updated 14 Feb 2023, Added 13 Feb 2023 ", FOR RENT: Newly Built Executive Mini Flat-Apartments All Room en-suite with Modern interio.. Read more ,Newly Built,1 beds1 baths2 Toilets
Magodo Gra Phase 1 Ojodu Lagos,"800,000/year","  Updated 14 Feb 2023, Added 15 Jan 2023 "," FOR RENT: *TO LET Mini flat at Bankole Str Isheri. Rent: N800,000 per annum other charges.. Read more ",,1 beds1 baths1 Toilets
Magodo Gra Phase 1 Ojodu Lagos,"1,500,000/year","  Updated 14 Feb 2023, Added 03 Jan 2023 ", FOR RENT: Just out in magodo phase 1 2bedroom flat 1.5m other charges follow suites. IN.. Read more ,,2 beds2 baths3 Toilets
Magodo Gra Phase 1 Ojodu Lagos,"500,000/year","  Updated 14 Feb 2023, Added 13 Feb 2023 ", FOR RENT: TO LET STANDARD MINIFLAT AT MAGODO PHASE ONE RENT 500K PER ANNUM AGENCY FEE.. Read more ,,0 beds0 baths0 Toilets
Chevron Lekki Lagos,"3,000,000/year","  Updated 14 Feb 2023, Added 03 Feb 2023 ", FOR RENT: DIRECT BRIEF 15 units of Luxury 2 bedrooms apartments with excellent facilitie.. Read more ,Newly Built,2 beds2 baths3 Toilets
Ebute Metta Yaba Lagos,"1,200,000/year","  Updated 14 Feb 2023, Added 27 Jan 2023 ", FOR RENT: *Just Out Exquisitely finished standard 2 bedroom flat at YABA LAGOS all roo.. Read more ,,0 beds0 baths0 Toilets
Oniru Victoria Island Lagos,"1,200,000/year","  Updated 14 Feb 2023, Added 22 Dec 2022 ", FOR RENT: Studio apartment in Oniru for: N1.2m net Service Charge: N500k Agency: Fee.. Read more ,Serviced,0 beds0 baths0 Toilets
Ogudu Orike Ogudu Lagos,"750,000/year","  Updated 14 Feb 2023, Added 28 Jan 2023 "," FOR RENT: Exquisitely finished, decent and standard newly built mini at OGUDU Rent: .. Read more ",Newly Built,1 beds0 baths0 Toilets
Opic Gra Isheri North Ojodu Lagos,"700,000/year","  Updated 14 Feb 2023, Added 24 Jan 2023 ", FOR RENT: Mini-flat at opic gra going for 700k.. Read more ,,1 beds1 baths1 Toilets
Baruwa Ipaja Lagos,"1,000,000/year","  Updated 14 Feb 2023, Added 18 Jan 2023 "," FOR RENT: Brand New 2 bedroom Apartment, All Room en-suite with Modern interior fittings. .. Read more ",Newly Built,2 beds2 baths3 Toilets
Lekki Phase 1 Right Side Lekki Lagos,"12,000,000/year","  Updated 14 Feb 2023, Added 17 Nov 2022 ", FOR RENT: Contemporary 5-bedroom detached available for rent Price: N12m Per Annum .. Read more ,Newly Built,5 beds5 baths6 Toilets
Agungi Lekki Lagos,"15,000,000/year","  Updated 14 Feb 2023, Added 27 Jan 2023 "," FOR RENT: 1bed (Mini flat) at Agungi, Lekki. Rent -1.8m Service charge 350knper annum (.. Read more ",Serviced,0 beds0 baths0 Toilets
Rich Land Garden Estate Ibeju Lekki Lagos,"1,600,000/year","  Updated 14 Feb 2023, Added 05 Jan 2023 ", FOR RENT: Direct Brief for Rent 3 Bedroom Bungalow Location: Rich land Gardens Estate .. Read more ,,0 beds3 baths0 Toilets
Otedola Estate Cmd Road Kosofe Ikosi Lagos,"1,800,000/year","  Updated 14 Feb 2023, Added 13 Feb 2023 ", FOR RENT: TO LET : 2BEDROOM BUNGALOW TO LET AT OTEDOLA ESTATE SELF COMPOUND COOPERATE CLIE.. Read more ,,2 beds2 baths3 Toilets
Off Onikoyi Lane Ikoyi Lagos,"12,000,000/year","  Updated 14 Feb 2023, Added 28 Jan 2023 ", FOR RENT: *Property:* Newly built 4 bedroom maisonette duplex with a room bq *Location:.. Read more ,ServicedNewly Built,4 beds4 baths5 Toilets
Okun Ajah Ajah Lagos,"4,500,000/year","  Updated 14 Feb 2023, Added 05 Feb 2023 "," FOR RENT: Location- Ajah, Lekki Values- - Well spacious bedrooms -All rooms en-suit.. Read more ",Serviced,4 beds4 baths0 Toilets
Berger Ojodu Lagos,"700,000/year","  Updated 14 Feb 2023, Added 13 Feb 2023 ", FOR RENT: TO LET EXECUTIVE STANDARD MINIFLAT WITH 2 TOILETS AND BATHS AT SAABO OJODU BERGE.. Read more ,,0 beds0 baths0 Toilets
Soluyi Gbagada Lagos,"1,400,000/year","  Updated 14 Feb 2023, Added 11 Feb 2023 ", FOR RENT: *Fresh Letting* Newly Relatively spacious 2bedrooms all room ensuite with gu.. Read more ,,2 beds2 baths3 Toilets
Omole Phase 1 Ojodu Lagos,"7,000,000/year","  Updated 14 Feb 2023, Added 09 Jan 2023 ", FOR RENT: Newly built 5 bedrooms detached duplex with a room Bq inside inside Omole estate.. Read more ,,5 beds5 baths6 Toilets
Via Adeniran Ogunsanya Surulere Lagos,"1,500,000/year","  Updated 14 Feb 2023, Added 01 May 2022 "," FOR RENT: Mini flat very decent Off Adeniran Ogunsanya Street Surulere Price: 1,5m per .. Read more ",, beds baths1 Toilets
Platinum Way Jakande Lekki Lagos,"800,000/year","  Updated 14 Feb 2023, Added 04 Dec 2022 "," FOR RENT: TO LET A room self contain at Platinum Way, Jakande, Lekki. Rent N800k A.. Read more ",,0 beds0 baths0 Toilets
Omole Phase 1 Ojodu Lagos,"1,700,000/year","  Updated 14 Feb 2023, Added 12 Feb 2023 ", FOR RENT: Lovely spacious 3bedroom all room ensulte upstairs estate 1.7m .. Read more ,,3 beds3 baths3 Toilets
Oba Akran Ikeja Lagos,"30,000,000/year",  Added 16 Feb 2023 , FOR RENT: FOR LONG LEASE ( OFFICE COMPLEX ) Property Descriptions: A Story Building Of .. Read more ,,10 beds0 baths10 Toilets
Chevron Lekki Lagos,"3,500,000/year","  Updated 14 Feb 2023, Added 31 Dec 2022 ", FOR RENT: Relatively Clean and Standard 3 Bedroom Flat Apartment With Modern Facilities Eq.. Read more ,,3 beds3 baths4 Toilets
