Location,Price_Period,Date_Added_Updated,Description,Serviced,Bed_Bath_Toilet
Adeola Odeku Victoria Island Lagos,"15,000,000/year","  Updated 21 Dec 2022, Added 23 Jun 2022 "," FOR RENT: 3 bedroom luxury apartment Location - Eden heights, off adeola odeku street, .. Read more ",,0 beds0 baths0 Toilets
Oniru Victoria Island Lagos,"6,000,000/year","  Updated 21 Dec 2022, Added 23 Oct 2022 "," FOR RENT: Fully Serviced Luxury 3bedroom apartment with Swimming Pool, Lift & BQ For Rent .. Read more ",,0 beds0 baths0 Toilets
Victoria Island Lagos,"13,000,000/year","  Updated 21 Dec 2022, Added 13 Oct 2022 ", FOR RENT: TO LET Direct Instruction Nicely finished 2 and 3 bedroom apartment located.. Read more ,,0 beds0 baths0 Toilets
Ikoyi Lagos,"7,500,000/year","  Updated 21 Dec 2022, Added 12 Aug 2022 "," FOR RENT: Newly Built Luxury Fully Serviced Blocks Of Flats with Swimming Pool Gym, Club H.. Read more ",,0 beds0 baths0 Toilets
Alausa Ikeja Lagos,"50,000/sqm","  Updated 21 Dec 2022, Added 23 Jun 2022 ", FOR RENT: 300 SQM Open plan Office Space in Alausa Ikeja by Alausa Secretariat Price….50k.. Read more ,,0 beds0 baths0 Toilets
"Richmond Gate Estate 1, Ikate Lekki Lagos","6,500,000","  Updated 21 Dec 2022, Added 05 May 2022 ", FOR RENT: Talking to Semi Mandate Estate: Richmond Gate Estate 1 Ikate 4bedroom se.. Read more ,,0 beds0 baths0 Toilets
Ikeja Lagos,"15,000,000/year","  Updated 21 Dec 2022, Added 19 Jul 2022 "," FOR RENT: LETTING GRA Description:- 3 bedroom bungalow on half an acre, with massive un.. Read more ",,0 beds0 baths0 Toilets
Victoria Island Lagos,"4,000,000/year","  Updated 21 Dec 2022, Added 14 Sep 2022 ", FOR RENT: Semi Direct Brief 2BEDROOM FOR RENT IN VI. 3 units of 2 bedroom available.. Read more ,,0 beds0 baths0 Toilets
Lekki Lagos,"6,000,000","  Updated 21 Dec 2022, Added 05 May 2022 ", FOR RENT: 4 bed terraced duplex Lekki 6M Legal 5% Caution 5% Legal 10% .. Read more ,,0 beds0 baths0 Toilets
Awolowo Road Ikoyi Lagos,"10,000,000/year","  Updated 21 Dec 2022, Added 20 Jun 2022 ", FOR RENT: for rent Segun oluw The Overlook Property Type - Apartment Management - Ful.. Read more ,,0 beds0 baths0 Toilets
Igbo Efun Ajah Lagos,"12,000,000/year","  Updated 21 Dec 2022, Added 21 Nov 2022 ", FOR RENT: For Lease!!! Open floor plan facing Lekki/Epe Expressway beside Eti-Osa LG .. Read more ,,0 beds0 baths0 Toilets
Adjacent Mayfair Garden Estate Awoyaya Ajah Lagos,"1,500,000/year","  Updated 21 Dec 2022, Added 07 Sep 2022 "," FOR RENT: Description: Shop Space Directly Facing Lekki-Epe Expressway, Awoyaya Annual .. Read more ",,0 beds0 baths0 Toilets
Anthony Oke Bus Stop Gbagada Lagos,"12,000,000/year","  Updated 21 Dec 2022, Added 24 Nov 2022 ", FOR RENT: Commercial Property for rent Anthony Oke Bus Stop Gbagada Lagos.. Read more ,,0 beds0 baths0 Toilets
Igbo Efon Lekki Lagos,"700,000/year","  Updated 21 Dec 2022, Added 27 Mar 2022 ", FOR RENT: Rent 700k Caution 100k.. Read more ,,0 beds0 baths0 Toilets
Anthony Oke Bus Stop Gbagada Lagos,"12,000,000/year","  Updated 21 Dec 2022, Added 24 Nov 2022 ", FOR RENT: Lease A piece of land of 1084.5sqm on Gbagada Expressway by Anthony Oke bus st.. Read more ,,0 beds0 baths0 Toilets
Banana Island Ikoyi Lagos,"25,000,000/year","  Updated 21 Dec 2022, Added 07 Nov 2022 "," FOR RENT: Brand new 4 bedroom Semi-detached duplex with a garden in banana island, Ikoyi. .. Read more ",ServicedNewly Built,4 beds0 baths0 Toilets
Eletu Osapa Osapa London Lekki Lagos,"950,000/year","  Updated 21 Dec 2022, Added 07 Oct 2022 ", FOR RENT: Shared apartment . Room 950k Sc 250k caution 100k . legal and agency 10% each. I.. Read more ,,0 beds0 baths0 Toilets
Osapa London Lekki Lagos,"950,000/year","  Updated 21 Dec 2022, Added 29 Aug 2022 ", FOR RENT: Shared apartment room Rent 950k Sc 250k Caution 100k Legal 10% Agency 10.. Read more ,,0 beds0 baths0 Toilets
Dominion Pizza Agungi Lekki Lagos,"1,900,000/year","  Updated 21 Dec 2022, Added 21 Sep 2022 ", FOR RENT: To let: Sharp Master Bedroom with standard private kitchen in a well-secured e.. Read more ,,0 beds0 baths0 Toilets
"Ademola Street, Off Awolowo Way Falomo Ikoyi Lagos Awolowo Road Ikoyi Lagos","8,000,000/year","  Updated 21 Dec 2022, Added 20 Dec 2022 "," FOR RENT: 5 Bedroom House for rent at Ademola street, off Awolowo Way Falomo Ikoyi Lagos .. Read more ",,5 beds0 baths0 Toilets
Chevy View Estate Chevron Lekki Lagos,"750,000/year","  Updated 21 Dec 2022, Added 26 Aug 2022 "," FOR RENT: A Standard Room In A Duplex, with Cross Ventilation inside a secured Estate. In.. Read more ",,0 beds0 baths0 Toilets
Dominion Pizza Agungi Lekki Lagos,"4,500,000/year","  Updated 21 Dec 2022, Added 08 Oct 2022 "," FOR RENT: *URGENT LETTING* *JUST BY DOMINO'S PIZZA, AGUNGI,* Nicely kept, well maintain.. Read more ",,0 beds0 baths0 Toilets
Ikate Lekki Lagos,"7,000,000/year","  Updated 21 Dec 2022, Added 07 Dec 2022 ", FOR RENT: luxury 4-bedroom semi-detached duplex with BQ at Ikate. Rent 7million annual.. Read more ,,0 beds0 baths0 Toilets
Elegushi Ikate Lekki Lagos,"1,500,000/year","  Updated 21 Dec 2022, Added 07 Oct 2022 ", FOR RENT: Shared apartment. Ikate elegushi . The rent is 1.5m services charg.. Read more ,,0 beds0 baths0 Toilets
Osbourne Osborne Foreshore Estate Ikoyi Lagos,"15,000,000/year","  Updated 21 Dec 2022, Added 15 Dec 2022 ", FOR RENT: Osborne phase 2 5 Bedroom semi-detached house with 1-bedroom boys quarter. .. Read more ,,0 beds0 baths0 Toilets
Chevy View Estate Chevron Lekki Lagos,"4,250,000/year","  Updated 21 Dec 2022, Added 08 Sep 2022 "," FOR RENT: PROPERTY TYPE: New 3 Bedroom apartment: DESCRIPTION: 1 en-suite Bedroom, 2 .. Read more ",,0 beds0 baths0 Toilets
By Eti Osa Lg Igbo Efon Lekki Lagos,"12,000,000/year","  Updated 21 Dec 2022, Added 24 Nov 2022 ", FOR RENT: To Lease Open plan floor of 500sqm Facing Lekki/Epe Expressway by Eti-Osa LG .. Read more ,,0 beds0 baths0 Toilets
Anthony Gbagada Lagos,"12,000,000/year","  Updated 21 Dec 2022, Added 21 Nov 2022 ", FOR RENT: For Lease! A piece of land facing Gbagada Expressway by Anthony Oke bus stop... Read more ,,0 beds0 baths0 Toilets
Ikare Close Akora Villa Adeniyi Jones Ikeja Lagos,"700,000/year","  Updated 21 Dec 2022, Added 25 Nov 2022 ", FOR RENT: Finished One Room studio apartment ( self-contain) within a serviced estate at I.. Read more ,,0 beds1 baths1 Toilets
Salem Ilasan Lekki Lagos,"2,400,000/year","  Updated 21 Dec 2022, Added 19 Dec 2022 "," FOR RENT: 2 bedroom apartment. Downstairs, Salem ilasan lekki. Rent 2,4 million sc 400k ca.. Read more ",,0 beds0 baths0 Toilets
Anthony Oke Bus Stop Anthony Village Maryland Lagos,"12,000,000/year","  Updated 21 Dec 2022, Added 29 Nov 2022 ", FOR RENT: For Lease... A piece of land of 1084.5sqm Facing Gbagada Expressway by Anthon.. Read more ,,0 beds0 baths0 Toilets
Igbo Efon Lekki Lagos,"12,000,000/year","  Updated 21 Dec 2022, Added 22 Nov 2022 ", FOR RENT: For Lease!! Facing Lekki/Epe Expressway by Eti-osa LG Igbo Efun Open plan floo.. Read more ,,0 beds0 baths0 Toilets
Lekki Lagos,"14,000,000/year","  Updated 21 Dec 2022, Added 08 Nov 2022 ", FOR RENT: FOR RENT A semi Detached House with a Pent-house affording affording about 8-.. Read more ,,8 beds0 baths0 Toilets
Banana Island Ikoyi Lagos,"20,000,000/year","  Updated 21 Dec 2022, Added 09 Nov 2022 "," FOR RENT: Luxury 4 bedroom apartments with excellent facilities in Ocean Parade, banana is.. Read more ",Serviced,4 beds baths Toilets
