Location,Price_Period,Date_Added_Updated,Description,Serviced,Bed_Bath_Toilet
Ilasan Lekki Lagos,"1,500,000/year","  Updated 21 Dec 2022, Added 24 Nov 2022 ", FOR RENT: 1 bedroom apartment.Salem ilasan Lekki. 247 light Rent .. Read more ,,0 beds0 baths0 Toilets
Chevron Lekki Lagos,"1,250,000/year","  Updated 21 Dec 2022, Added 14 Dec 2022 "," FOR RENT: Rent 1,250million sc 250k legal 10% agent 10% caution 10% @ jeni aptm .. Read more ",,0 beds0 baths0 Toilets
Chevron Lekki Lagos,"1,400,000/year","  Updated 21 Dec 2022, Added 14 Dec 2022 ", FOR RENT: Studio Shared apartment. Rent 1.4 million sc 250k legal 10% agency 10% caution 1.. Read more ,,0 beds0 baths0 Toilets
Prime Waters Ikate Lekki Lagos,"5,000,000/year","  Updated 21 Dec 2022, Added 25 Nov 2022 ", FOR RENT: Price Review Update Furnished 3 Bedroom Flat for rent in Prime water Rent:.. Read more ,,0 beds0 baths0 Toilets
Ogunfayo Awoyaya Ajah Lagos,"300,000/year","  Updated 21 Dec 2022, Added 06 Sep 2022 "," FOR RENT: Out For Rent At Ogunfayo Very nice and descent roomself,(upstairs) very close.. Read more ",,0 beds0 baths0 Toilets
Chevron Lekki Lagos,"4,000,000/year","  Updated 21 Dec 2022, Added 09 Nov 2022 ", FOR RENT: Well maintained service 4 bedroom terrace Rent 4m Agency 10 Legal 10 Caution.. Read more ,Serviced,4 beds4 baths5 Toilets
Chevy View Estate Chevron Lekki Lagos,"1,200,000/year","  Updated 21 Dec 2022, Added 01 Dec 2022 ", FOR RENT: Masters bedroom. chevy view estate lekki. Rent... 1.2m Legal.. 10% Agent.. .. Read more ,,0 beds0 baths0 Toilets
Ikota Lekki Lagos,"3,500,000/year","  Updated 21 Dec 2022, Added 09 Nov 2022 ", FOR RENT: Very clean service 4 bedroom detach Rent 3.5m Agency 10 Legal 10 Caution 20.. Read more ,Serviced,4 beds4 baths5 Toilets
Mini Estate Ilasan Lekki Lagos,"3,000,000/year","  Updated 21 Dec 2022, Added 17 Nov 2022 "," FOR RENT: 3 bedrooms apartment. Upstairs, Rent 3 million sc 600k. Legal and agencies 10% e.. Read more ",,0 beds0 baths0 Toilets
Oniru Victoria Island Lagos,"7,000,000/year","  Updated 21 Dec 2022, Added 23 Sep 2022 ", FOR RENT: Luxury 2 bedroom flat with swimming pool and elevator gym inside Victoria Island.. Read more ,,0 beds0 baths0 Toilets
Chevy View Estate Chevron Lekki Lagos,"500,000/year","  Updated 21 Dec 2022, Added 07 Oct 2022 ", FOR RENT: Boys quarter. chevy view estate. chevron lekki. Rent 500k Sc 150k ca.. Read more ,,0 beds0 baths0 Toilets
Salem Ilasan Lekki Lagos,"6,000,000/year","  Updated 21 Dec 2022, Added 19 Dec 2022 "," FOR RENT: 4 bedroom semi-detached duplex, ilasan lekki. Rent 6 million. .. Read more ",,0 beds0 baths0 Toilets
Grace Land Estate Olokonla Ajah Lagos,"4,000,000/year","  Updated 21 Dec 2022, Added 16 Dec 2022 ", FOR RENT: 5 bedroom apartment spacious and large available for rent at olokonla Graceland .. Read more ,,5 beds6 baths6 Toilets
Ikoyi S.w Ikoyi Lagos,"55,000/sqm","  Updated 21 Dec 2022, Added 25 Nov 2022 ", FOR RENT: A commercial property built on 5 floors with let-table space of 576.3 SQM @ Keff.. Read more ,,0 beds0 baths0 Toilets
Agungi Lekki Lagos,"130,000,000","  Updated 19 Feb 2023, Added 16 Dec 2022 ", FOR SALE: Title : Governor consent in progress Land size 220sqm Features - -Brand new.. Read more,Newly Built,4 beds4 baths5 Toilets
1004 Victoria Island Lagos,"8,000,000/year","  Updated 21 Dec 2022, Added 23 Sep 2022 ", FOR RENT: 3 bedroom apartment in 104 estate furnished. Price: N8m net. Caution deposit r.. Read more ,,0 beds0 baths0 Toilets
St Joseph Osapa London Osapa London Lekki Lagos,"3,000,000/year","  Updated 21 Dec 2022, Added 09 Dec 2022 ", FOR RENT: 3 bedroom duplex with Bq. Osapa London lekki. Rent 3 million caution 300k legal .. Read more ,,0 beds0 baths0 Toilets
Chevy View Chevron Lekki Lagos,"950,000/year","  Updated 21 Dec 2022, Added 26 Jun 2022 "," FOR RENT: Inform family and friends, looking for an accomodation in LEKKI, A new openin.. Read more ",,0 beds0 baths0 Toilets
Eletu Osapa London Lekki Lagos,"2,700,000/year","  Updated 21 Dec 2022, Added 15 Dec 2022 ", FOR RENT: Partial service 2 bedroom flat Location osapa london Rent 2.7m Caution 200k.. Read more ,,0 beds0 baths0 Toilets
Chevy View Estate. Lekki Chevron Lekki Lagos,"4,500,000/year","  Updated 21 Dec 2022, Added 12 Nov 2022 "," FOR RENT: 4 bedroom duplex. Chevy view estate. Chevron lekki. Rent, 4.5million L.. Read more ",, beds baths Toilets
Osapa London Lekki Lagos,"1,500,000/year","  Updated 21 Dec 2022, Added 08 Sep 2022 ", FOR RENT: Newly renovated spacious mini flat available for rent. Rent: N1.5 Agency: N1.. Read more ,,0 beds0 baths0 Toilets
Ocean Breeze Estate Ologolo Lekki Lagos,"800,000/year","  Updated 21 Dec 2022, Added 21 Mar 2022 ", FOR RENT: Rent 800k.. Read more ,,0 beds0 baths0 Toilets
"Nigeria Law School, Ahmed Onibudo Victoria Island Extension Victoria Island Lagos","85,000/sqm",  Added 20 Dec 2022 ," FOR RENT: ""TO LET – VICTORIA ISLAND Superlative corporate office for a multinational c.. Read more ",,0 beds0 baths5 Toilets
Okun Ajah Ajah Lagos,"3,200,000/year",  Added 19 Dec 2022 , FOR RENT: The property is ready for the serious one. .. Read more ,Newly Built,4 beds4 baths4 Toilets
Blenco Sangotedo Lagos,"1,100,000/year","  Updated 17 Dec 2022, Added 08 Aug 2022 ", FOR RENT: Mini flat in a serene estate with maximum security Legal fee #150 Caution dep.. Read more ,,0 beds0 baths0 Toilets
Folume Ajah Lagos,"3,500,000/year","  Updated 17 Dec 2022, Added 10 Aug 2022 ", FOR RENT: Facing Express office space or Supermarket or restaurant space for rent could be.. Read more ,Serviced,0 beds1 baths1 Toilets
Yola Sangotedo Ajah Lagos,"700,000/year","  Updated 17 Dec 2022, Added 10 Aug 2022 ", FOR RENT: Rent #700 Legal fee #70k Agency fee #70k Caution deposit #70k.. Read more ,,0 beds0 baths0 Toilets
Along Ogudu G R A Ogudu Gra Ogudu Lagos,"6,000,000/year",  Added 16 Dec 2022 , FOR RENT: SHOP TO LET Attention shop space available now in ogudu Road Gra Lagos 2nd.. Read more ,Serviced,0 beds0 baths0 Toilets
Ikeja G R A Ikeja Gra Ikeja Lagos,"30,000,000/year",  Added 16 Dec 2022 , FOR RENT: PROPERTY FOR LEASE AT IKEJA GRA: Supermassive 5 bedrooms detached house wit.. Read more ,,6 beds6 baths7 Toilets
Ikota Gra Ikota Lekki Lagos,"5,000,000/year",  Added 15 Dec 2022 ," FOR RENT: Fully Detached 4 Bedroom Duplex For Rent Price: 5,000,000 Caution: 500,000 Le.. Read more ",Newly Built,4 beds4 baths5 Toilets
Ikeja Gra Ikeja Lagos,"7,000,000/year",  Added 15 Dec 2022 , FOR RENT: 4 bedroom terrace duplex with one room Boys Quarter in a serviced estate in GRA .. Read more ,FurnishedServiced,4 beds4 baths5 Toilets
Isuti Road Egan Egan Ikotun Igando Lagos,"2,500,000/year",  Added 15 Dec 2022 , FOR RENT: Direct brief Suitable for; * School * Hostel * Factory * Tutorial cente.. Read more ,,10 beds0 baths3 Toilets
Allen Avenue Ikeja Lagos,"10,000,000/year",  Added 15 Dec 2022 ," FOR RENT: Direct letting, fully detached 5 bedroom fully duplex with 1 room BQ inside an e.. Read more ",,5 beds5 baths6 Toilets
Oniru Victoria Island Lagos,"10,000,000/year","  Updated 15 Dec 2022, Added 14 Dec 2022 ", FOR RENT: A 4-bedroom Terrace duplex with Bq For Rent!!! Price: 10 million Naira Loca.. Read more ,Newly Built,4 beds4 baths5 Toilets
Ikoyi S.w Ikoyi Lagos,"220,000,000","  Updated 20 Feb 2023, Added 16 Jul 2022 ", FOR SALE: BEAUTIFULLY FINISHED 3 BEDROOM APARTMENT WITH BQ - Beautifully Finished To D.. Read more,Newly Built,3 beds3 baths4 Toilets
Gbagada Lagos,"2,500,000/year",  Added 14 Dec 2022 , FOR RENT: Relatively new 3 bed room flat all rooms ensuit plus guest toilet present rental.. Read more ,,0 beds0 baths0 Toilets
Lekki County Homes Ikota Lekki Lagos,"140,000,000/year",  Added 14 Dec 2022 ," FOR RENT: Newly Built 4 Bedroom Detached Duplex with Pool for Sale Price: N140,000,000 .. Read more ",Newly Built,4 beds4 baths5 Toilets
Prince Bode Adebowale Lekki Phase 1 Lekki Lagos,"4,500,000/year",  Added 14 Dec 2022 , FOR RENT: Spacious 4 Bedroom Apartment with large parking space and All day power supply... Read more ,Serviced,4 beds3 baths3 Toilets
Lekki Phase 1 Lekki Lagos,"12,000,000/year",  Added 13 Dec 2022 , FOR RENT: SEMI DETACH LUXURY 4 BEDROOM SEMI DETACHED DUPLEX FOR RENT OFF ADMIRALTY WAY .. Read more ,,0 beds0 baths0 Toilets
Victoria Island Lagos,"10,000,000/year",  Added 13 Dec 2022 ," FOR RENT: 3-bedroom apartment with BQ, pool, and gym at Victoria island 10m annually .. Read more ",,0 beds0 baths0 Toilets
Ikoyi Lagos,"8,500,000/year",  Added 13 Dec 2022 , FOR RENT: For Rent 3-bedroom Maisonette Rent: 8.5 million Naira per annum Other C.. Read more ,,0 beds0 baths0 Toilets
Ikate Lekki Lagos,"12,000,000/year",  Added 13 Dec 2022 , FOR RENT: Fully Serviced Luxury 4-bedroom Semi-detached duplex with Swimming Pool BQ For R.. Read more ,,0 beds0 baths0 Toilets
Lekki Lagos,"8,000,000/year",  Added 13 Dec 2022 , FOR RENT: For rent 4-bedroom terrace duplex Rent: N8M per annum Agent & agreement: .. Read more ,,0 beds0 baths0 Toilets
Oniru Victoria Island Lagos,"25,000,000/year",  Added 13 Dec 2022 ," FOR RENT: 2 wings of 5 bedroom semi-detached +2 rooms bq, tastefully furnished, all room.. Read more ",,0 beds0 baths0 Toilets
Idado Lekki Lagos,"450,000/year",  Added 13 Dec 2022 , FOR RENT: TO LET a clean BQ 450k service charge 100k. Agency 15% agreement 15%. Location i.. Read more ,,0 beds0 baths0 Toilets
Lekki Phase 1 Lekki Lagos,"4,500,000/year",  Added 13 Dec 2022 , FOR RENT: Newly and well renovated 3bedroom flat in lekki phase1 for immediate letting. .. Read more ,,0 beds0 baths0 Toilets
Oniru Victoria Island Lagos,"8,000,000/year",  Added 13 Dec 2022 , FOR RENT: 2 BEDROOM FURNISHED APARTMENTS AVAILABLE IN ONIRU A Neatly Furnished 2 bedroo.. Read more ,,0 beds0 baths0 Toilets
Osapa London Lekki Lagos,"3,200,000/year",  Added 13 Dec 2022 , FOR RENT: JUST OUT!!! Fully Serviced 2 Bedroom Apartment for rent with 24/7 constant li.. Read more ,,0 beds0 baths0 Toilets
Ikate Lekki Lagos,"4,000,000/year",  Added 13 Dec 2022 , FOR RENT: Brand New 2 bedroom flat Rent: N4m Sc: yet to be determined Agency: .. Read more ,,0 beds0 baths0 Toilets
Osapa London Lekki Lagos,"3,200,000/year",  Added 13 Dec 2022 , FOR RENT: JUST OUT Fully Serviced 2 Bedroom Apartment for rent with 24/7 constant light.. Read more ,,0 beds0 baths0 Toilets
Lekki Lagos,"11,000,000/year",  Added 13 Dec 2022 ," FOR RENT: (Fully Furnished 2 bedroom without BQ on the 14th floor Sapphire Towers, Blue Wa.. Read more ",,0 beds0 baths0 Toilets
Ikate Lekki Lagos,"5,000,000/year",  Added 13 Dec 2022 , FOR RENT: URGENT LETTING OF 3BR APARTMENT 3-bedroom terrace duplex at Ikate. It’s b.. Read more ,,0 beds0 baths0 Toilets
Lekki Phase 1 Lekki Lagos,"3,500,000/year",  Added 13 Dec 2022 , FOR RENT: 3-bedroom flat off Fola Osibo street Lekki phase1. Rent. N3.5m Agency. N3.. Read more ,,0 beds0 baths0 Toilets
Orchid Lekki Lagos,"4,500,000/year",  Added 13 Dec 2022 , FOR RENT: 4Bedroom semi-detached duplex by Victoria Bay 1 orchid hotel road Rent -4.5mill.. Read more ,,4 beds0 baths0 Toilets
Lekki County Homes Ikota Lekki Lagos,"4,500,000/year","  Updated 13 Dec 2022, Added 12 Dec 2022 "," FOR RENT: 4 Bedroom Semi-Detached Duplex With BQ And A Security Room For Rent Price: 4,50.. Read more ",,4 beds4 baths5 Toilets
Peace Estate Aguda Surulere Lagos,"250,000/year","  Updated 13 Dec 2022, Added 19 Feb 2022 ", FOR RENT: Room in a 3bedroom FLAT at Peace Estate Aguda Surulere upstairs with personal To.. Read more ,,0 beds0 baths0 Toilets
Victoria Island Lagos,800/year,"  Updated 13 Dec 2022, Added 17 May 2022 ", FOR RENT: Property type: Office Offer type: For Rent Location: Victoria island Grade.. Read more ,,0 beds0 baths0 Toilets
Maryland Lagos,65/sqm,"  Updated 13 Dec 2022, Added 19 May 2022 ", FOR RENT: RETAIL STORES VARYING FROM 30-80SQM WITHIN MARYLAND MALL Property type: Office .. Read more ,,0 beds0 baths0 Toilets
Amuwo Odofin Lagos,"10,000/sqm","  Updated 13 Dec 2022, Added 16 May 2022 "," FOR RENT: -A warehouse measuring 4,200 sqm at Amuwo Odofin off Babangida road. Rent: N10k.. Read more ",,0 beds0 baths0 Toilets
Ligali Ayorinde Victoria Island Lagos,"11,000,000/year","  Updated 13 Dec 2022, Added 19 May 2022 "," FOR RENT: LAND MEASURING 1366SQM FOR LEASE AT LIGALI AYORINDE, VICTORIA ISLAND NGN11.000... Read more ",,0 beds0 baths0 Toilets
Ikoyi Lagos,"500,000,000/year","  Updated 13 Dec 2022, Added 23 May 2022 "," FOR RENT: FOR LETTING 4 bedroom detached house, 9 bedroom detached house and Block of 8 u.. Read more ",, beds0 baths0 Toilets
Adeola Hopewell Victoria Island Lagos,"50,000/sqm","  Updated 13 Dec 2022, Added 16 May 2022 "," FOR RENT: -Plan/ Partitioned office spaces on ground floor,1st floor and 2nd floor me.. Read more ",Serviced,0 beds0 baths0 Toilets
Lekki Phase 1 Lekki Lagos,"7,000,000/year","  Updated 13 Dec 2022, Added 25 Nov 2022 ", FOR RENT: NEWLY BUILT SPACES FOR SHOPS & OFFICE USE TO LET @ LEKKI PHASE 1 Has 2 Big mi.. Read more ,ServicedNewly Built,0 beds0 baths0 Toilets
Thomas Estate Ajah Lagos,"1,500,000/year","  Updated 13 Dec 2022, Added 21 Nov 2022 "," FOR RENT: Newly Built Shops for Rent Price: N1,500,000 Location: Thomas Estate, Aj.. Read more ",Newly Built,0 beds0 baths0 Toilets
Oniru Victoria Island Lagos,"52,000/sqm","  Updated 13 Dec 2022, Added 19 May 2022 ", FOR RENT: OPEN PLAN OFFICE SPACE MEASURING APPROXIMATELY 168SQM & 198SQM ON THE FIRST FLOO.. Read more ,,0 beds0 baths0 Toilets
Ibeju Lekki Lagos,"20,000,000/year","  Updated 13 Dec 2022, Added 26 May 2022 "," FOR RENT: 20 Bays warehouse measuring 1200m2 for lease at Sapati Ibeju,Lekki. Price: N20M.. Read more ",,0 beds0 baths0 Toilets
Adeola Odeku Victoria Island Lagos,"60,000/sqm","  Updated 13 Dec 2022, Added 16 May 2022 "," FOR RENT: Urgent letting. Well renovated and service office spaces measuring 250 , 130 an.. Read more ",Serviced,0 beds0 baths0 Toilets
Victoria Island Lagos,500/sqm,"  Updated 13 Dec 2022, Added 17 May 2022 ", FOR RENT: Property type: Office Offer type: For Rent Location: Victoria Island A com.. Read more ,,0 beds0 baths0 Toilets
Victoria Island Lagos,"55,000,000/year","  Updated 13 Dec 2022, Added 25 Nov 2022 ", FOR RENT: Purpose-built 32 bedroom hotel building in Victoria island on 1700m2 (18 rooms e.. Read more ,,0 beds0 baths0 Toilets
Lagos Island Lagos,"30,000/sqm","  Updated 13 Dec 2022, Added 16 May 2022 ", FOR RENT: Office building on 9 floors measuring 247sqm per floor (9123.5sqm per wing). Ava.. Read more ,Serviced,0 beds0 baths0 Toilets
Opebi Ikeja Lagos,"4,000,000/year","  Updated 13 Dec 2022, Added 04 Nov 2022 ", FOR RENT: TO LET 123 sqm Open plan from wing upper Floor space suitable for fashion shop.. Read more ,,0 beds0 baths0 Toilets
Thomas Estate Ajah Lagos,"1,500,000/year","  Updated 13 Dec 2022, Added 21 Nov 2022 "," FOR RENT: New Shop Available Upstairs for Rent Price: N1,500,000 Location: Ajah, Th.. Read more ",,0 beds0 baths0 Toilets
Ikoyi Lagos,"100,000/year","  Updated 13 Dec 2022, Added 17 May 2022 ", FOR RENT: Property type: Office Offer type: For Rent Location: Ikoyi Purpose built G.. Read more ,,0 beds0 baths0 Toilets
Lagos Island Lagos,"18,000/sqm","  Updated 13 Dec 2022, Added 16 May 2022 ", FOR RENT: Open plan office space on 10 floors measuring 341 sqm each and having available.. Read more ,Serviced,0 beds0 baths0 Toilets
Ikeja Gra Ikeja Lagos,"65,000/sqm","  Updated 13 Dec 2022, Added 16 May 2022 ", FOR RENT: PROPERTY: Open planned office spaces measuring 204 square metres on 3rd Floor .. Read more ,Serviced,0 beds0 baths0 Toilets
Ajose Adeogun Victoria Island Lagos,500/sqm,"  Updated 13 Dec 2022, Added 16 May 2022 ", FOR RENT: Ultra modern open plan office space on 6 floors measuring 305sqm on each floor a.. Read more ,,0 beds0 baths0 Toilets
Ikota Lekki Lagos,"7,000,000/year","  Updated 13 Dec 2022, Added 28 Jul 2022 ", FOR RENT: Newly built shop space / supermarket available for rent .. Read more ,Newly Built,0 beds0 baths0 Toilets
Lekki Phase 1 Lekki Lagos,"15,000/sqm","  Updated 13 Dec 2022, Added 19 May 2022 ", FOR RENT: RETAIL STORE WITH SIZES VARYING FROM 35SQM-200SQM IN A PURPOSE BUILT SHOPPING MA.. Read more ,,0 beds0 baths0 Toilets
Lekki County Homes Ikota Lekki Lagos,"4,500,000/year","  Updated 13 Dec 2022, Added 12 Dec 2022 "," FOR RENT: 4 Bedroom Semi-Detached Duplex With BQ And A Security Room For Rent Price: N4,5.. Read more ",,4 beds4 baths5 Toilets
Lagos Island Lagos,"25,000/sqm","  Updated 13 Dec 2022, Added 16 May 2022 "," FOR RENT: Open plan office spaces on the 6th, 7th,8th,9th and 10th floor measuring 125, 19.. Read more ",Serviced,0 beds0 baths0 Toilets
Palace Road Ikate Lekki Lagos,"1,500,000/year","  Updated 12 Dec 2022, Added 16 Nov 2022 ", FOR RENT: Shop for lease. Up-1.5m p.a Down-1.8m p a Lease period -3-5years.. Read more ,,0 beds0 baths2 Toilets
Alhaji Bakare Street Berger Ojodu Lagos,"1,000,000/year",  Added 12 Dec 2022 , FOR RENT: 55sqmt of storage space to let located in close proximity to Berger... Read more ,,0 beds0 baths0 Toilets
Lekki County Home Ikota Lekki Lagos,"10,000,000/year",  Added 12 Dec 2022 , FOR RENT: Now Renting Now Renting Newly built 5-bedroom fully detached house FEATURE.. Read more ,Newly Built,5 beds5 baths6 Toilets
Off Allen Avenue Ikeja Allen Avenue Ikeja Lagos,"5,000,000/year",  Added 12 Dec 2022 , FOR RENT: IKEJA TERRACE DUPLEX FOR SALES Newly Built 4 Bedrooms Terrace Duplex with a R.. Read more ,ServicedNewly Built,4 beds4 baths5 Toilets
Lagos Island Lagos Island Lagos,"25,000/sqm","  Updated 11 Dec 2022, Added 11 Dec 2022 "," FOR RENT: Open plan Office spaces on the 3rd ,4th and 11th floor in a serviced High Rise O.. Read more ",,0 beds0 baths0 Toilets
