Location,Price_Period,Date_Added_Updated,Description,Serviced,Bed_Bath_Toilet
Alimosho Lagos,"500,000/year","  Updated 19 Feb 2023, Added 18 Jan 2023 "," FOR RENT: A standard and beautifully built 2 bedroom flat up for grab,all round tiles,all .. Read more ",,2 beds0 baths0 Toilets
Babtope Aguda Surulere Lagos,"1,500,000/year","  Updated 19 Feb 2023, Added 16 Jan 2023 ", FOR RENT: A NEWLY RENOVATED 2UNITS OF 3BEDROOM FLAT UP AND DOWN IN A BLOCK OF 4FLAT WITH .. Read more ,,3 beds2 baths3 Toilets
Iyana Ipaja Ipaja Lagos,"150,000/year","  Updated 19 Feb 2023, Added 24 Jan 2023 "," FOR RENT: Newly outroom self Features: Fenced, gated with water, all round tiles, upstai.. Read more ",,1 beds0 baths1 Toilets
"Iyana Ekoro, Meiran Alimosho Lagos","400,000/year","  Updated 19 Feb 2023, Added 06 Jan 2023 ", FOR RENT: 2 Bedroom Flats To Let Location: IYana Ekoro Meiran Lagos Close To The Tarre.. Read more ,,2 beds0 baths2 Toilets
Ikotun Igando Lagos,"900,000/year","  Updated 19 Feb 2023, Added 18 Jan 2023 ", FOR RENT: 3 bedroom flat at Omolade Bus Stop after Igando 600k per annum total package 900.. Read more ,,3 beds0 baths0 Toilets
Ijesha Surulere Lagos,"1,200,000/year","  Updated 19 Feb 2023, Added 24 Jan 2023 ", FOR RENT: VERY DECENT Relatively new 3 BEDROOM FLAT SECOND FLOOR with ALL ROOMS INSUIT .. Read more ,,3 beds0 baths0 Toilets
Shomolu Lagos,"800,000/year","  Updated 19 Feb 2023, Added 07 Feb 2023 "," FOR RENT: NEWLY BUILT 2 BEDROOM FLAT AT OMOALADE-ALAFIA STREET, OFF PEDRO RD. VERY CLE.. Read more ",,2 beds0 baths0 Toilets
Sabo Yaba Lagos,"2,000,000/year","  Updated 19 Feb 2023, Added 25 Jan 2023 "," FOR RENT: Spacious 2 bedroom flat with all rooms ensuite, guest toilet, pop ceiling, perso.. Read more ",,2 beds0 baths0 Toilets
Ikota Lekki Lagos,"4,500,000/year","  Updated 19 Feb 2023, Added 26 Jan 2023 ", FOR RENT: Direct brief: Luxury 4 bedroom semi-Detached duplex with BQ to let at signature.. Read more ,,4 beds0 baths0 Toilets
Ilupeju Lagos,"1,800,000/year","  Updated 19 Feb 2023, Added 12 Jan 2023 ", FOR RENT: 2/3bedroom Apartment for rent in Ilupeju. Price: N1.8m & N2.1m respectively. S.. Read more ,,2 beds0 baths0 Toilets
Alagomeji Yaba Lagos,"4,000,000/year","  Updated 19 Feb 2023, Added 09 Jan 2023 "," FOR RENT: Very Spacious Office Space Upstairs At Alagomeji, Yaba With Three Toilets, Parki.. Read more ",,2 beds0 baths0 Toilets
Ikota Lekki Lagos,"2,000,000/year","  Updated 19 Feb 2023, Added 12 Jan 2023 "," FOR RENT: 2bedroom flat with BQ available To let around Ikota Lekki Lagos, all rooms ensui.. Read more ",,2 beds0 baths0 Toilets
Eti Osa Ajah Lagos,"1,500,000/year","  Updated 19 Feb 2023, Added 31 Aug 2022 ", FOR RENT: Shop space & office space available To let In a busy road around Ajah eti-osa le.. Read more ,,0 beds0 baths0 Toilets
Fadeyi Shomolu Lagos,"1,100,000/year","  Updated 19 Feb 2023, Added 04 Jan 2023 ", FOR RENT: Newly built 2 bedroom at fadeyi N1.1m 467.. Read more ,,2 beds0 baths0 Toilets
Sabo Yaba Lagos,"1,800,000/year","  Updated 19 Feb 2023, Added 14 Feb 2023 ", FOR RENT: A Neatly used 2bedroom flat at Sabo Yaba. Features Kitchen Cabinets Wardrob.. Read more ,,2 beds0 baths0 Toilets
Eric Moore Surulere Lagos,"130,000,000/year","  Updated 19 Feb 2023, Added 30 Jan 2023 "," FOR RENT: 3 numbers 3 bedroom fully detached duplex off Eric Moore Road, Surulere Lagos. .. Read more ",,3 beds0 baths0 Toilets
Aboru Iyana Ipaja Ipaja Lagos,"400,000/year","  Updated 19 Feb 2023, Added 01 Feb 2023 ", FOR RENT: A newly built Room and parlour self contained available inside an estate at abor.. Read more ,,1 beds0 baths0 Toilets
Onipanu Shomolu Lagos,"1,100,000/year","  Updated 19 Feb 2023, Added 30 Jan 2023 ", FOR RENT: Nicely Built 2 Bedroom Flats at Onipanu by Ilupeju Very Close to Ikorodu Road w.. Read more ,,2 beds0 baths0 Toilets
Baruwa Ipaja Lagos,"1,500,000/year","  Updated 19 Feb 2023, Added 02 Feb 2023 ", FOR RENT: Newly built 3 bedroom flat at 2 storey baruwa 1.5m per annum DM for inspection. .. Read more ,,3 beds0 baths0 Toilets
Aguda Surulere Lagos,"1,300,000/year","  Updated 19 Feb 2023, Added 12 Jan 2023 "," FOR RENT: Clean 3 bedroom apartment with all rooms ensuit, plus visitors toilet, Ground fl.. Read more ",,3 beds0 baths0 Toilets
Alimosho Lagos,"400,000/year","  Updated 19 Feb 2023, Added 01 Feb 2023 ", FOR RENT: Newly renovated 2 Bedroom Flat To Let off Meiran Joke Ayo Road Prepaid meter .. Read more ,,2 beds0 baths0 Toilets
"Near Heritage Estate, Aboru Ipaja Lagos","250,000/year","  Updated 19 Feb 2023, Added 12 Jan 2023 "," FOR RENT: Executive mini flat! Features: fenced, gated, all round tiled no landlord Pri.. Read more ",,2 beds0 baths0 Toilets
Iyana Ipaja Ipaja Lagos,"3,000,000/year","  Updated 19 Feb 2023, Added 06 Feb 2023 ", FOR RENT: Executive 5 bedroom duplex alone in the compound all room ensuite pop ceiling a.. Read more ,,5 beds0 baths0 Toilets
Pedro Road Bariga Lagos,"1,300,000/year","  Updated 19 Feb 2023, Added 16 Jan 2023 ", FOR RENT: 3 bedroom Flat upstairs at off Pedro road LAGOS Serene environment with Prepa.. Read more ,,3 beds2 baths2 Toilets
Iyana Ipaja Ipaja Lagos,"600,000/year","  Updated 19 Feb 2023, Added 27 Jan 2023 ", FOR RENT: 2 bedroom To let Pop Kitchen carbine 3 toilets Wardrobe Fence gated Flo.. Read more ,,2 beds0 baths3 Toilets
Amikanle Road Abule Egba Lagos,"10,000/month","  Updated 19 Feb 2023, Added 20 May 2022 ", FOR RENT: Shop to let Amikanle road Drinks and provision and food stuff not allowed 10.. Read more ,,0 beds0 baths0 Toilets
Adeola Odeku Victoria Island Lagos,"10,000,000/year","  Updated 19 Feb 2023, Added 14 Feb 2023 ", FOR RENT: Office Space For Lease in V.I Chalet with 3 bedrooms En-suite Freshly painted .. Read more ,,3 beds0 baths0 Toilets
"Peace Estate, Command Ipaja Lagos","400,000/year","  Updated 19 Feb 2023, Added 12 Jan 2023 ", FOR RENT: Decent 2 bedroom Flat Fence Gate Water All round tiles Floored Compound 2 .. Read more ,,2 beds0 baths2 Toilets
Omole Phase 1 Ojodu Lagos,"450,000/year","  Updated 19 Feb 2023, Added 27 Jan 2023 ", FOR RENT: To let A room Self-contained in a beautiful place upstairs pop water kichen cabi.. Read more ,,1 beds0 baths1 Toilets
Onike Bariga Lagos,"350,000/year","  Updated 19 Feb 2023, Added 13 Feb 2023 "," FOR RENT: 2 MANROOM BED SPACE, LOCATED AT LAGOS ONIKE CLOSE TO UNILAG SECOND GATE. FAC.. Read more ",,2 beds0 baths0 Toilets
Palmgroove Shomolu Lagos,"800,000/year","  Updated 19 Feb 2023, Added 24 Jan 2023 ", FOR RENT: A nice 2 Bedroom Flat at Palmgroove Shomolu Lagos for 1.4m Per annum MINI FLA.. Read more ,,2 beds0 baths0 Toilets
Iyana Ipaja Ipaja Lagos,"500,000/year","  Updated 19 Feb 2023, Added 27 Jan 2023 "," FOR RENT: Tastefully built 2 bedroom flat. Features: All round tiles, fenced, gated, all.. Read more ",,2 beds0 baths0 Toilets
