Location,Price_Period,Date_Added_Updated,Description,Serviced,Bed_Bath_Toilet
Magodo Gra Phase 1 Ojodu Lagos,"250,000/year","  Updated 14 Feb 2023, Added 23 May 2022 "," FOR RENT: *TO LET* a Room self-contained at Gateway Zone. Rent: N250,000 per annum.. Read more ",,0 beds0 baths0 Toilets
Ifako Ogba Ogba Lagos,"4,000,000/year","  Updated 14 Feb 2023, Added 25 Jan 2023 ", FOR RENT: 4 bedroom duplex self compound at adekoya estate off college road for 4m per ann.. Read more ,,4 beds0 baths0 Toilets
Magodo Gra Phase 1 Ojodu Lagos,"800,000/year","  Updated 14 Feb 2023, Added 22 Jan 2023 ", FOR RENT: *TO LET Room self-contained at Magodo Phase 1 Residential Scheme (3 people in a.. Read more ,,1 beds1 baths1 Toilets
Oniru Victoria Island Lagos,"8,000,000/year","  Updated 14 Feb 2023, Added 08 Feb 2023 ", FOR RENT: Exquisite newly built 3 bedroom ensuite penthouse apartment with a well fitted k.. Read more ,,3 beds3 baths4 Toilets
Phase 2 Gbagada Lagos,"8,000,000/year","  Updated 14 Feb 2023, Added 17 Jan 2023 "," FOR RENT: *To let Executive 5 bedroom duplex with luxury facilities, it comes with sola.. Read more ",Newly Built,5 beds5 baths6 Toilets
Magodo Gra Phase 1 Ojodu Lagos,"2,000,000/year","  Updated 14 Feb 2023, Added 12 Dec 2022 ", FOR RENT: To let 2bedroom.duplex self compound omole phase 2 extention olowora rent 2m o.. Read more ,,2 beds2 baths3 Toilets
Omole Phase 1 Ojodu Lagos,"7,000,000/year","  Updated 14 Feb 2023, Added 29 Nov 2022 ", FOR RENT: 5-bedroom luxury semi detached duplex with mini flat BQ in a serene gated neighb.. Read more ,,0 beds0 baths0 Toilets
Bode Thomas Surulere Lagos,"1,500,000/year","  Updated 14 Feb 2023, Added 14 Dec 2022 ", FOR RENT: A well maintained 3bedroom flat upstairs second floor in a block of 6flats with .. Read more ,,3 beds3 baths3 Toilets
Ilasan Lekki Lagos,"2,800,000/year","  Updated 14 Feb 2023, Added 25 Dec 2022 ", FOR RENT: Tastefully and Standard 3 Bedroom Flat Apartment With Modern Facilities Equipped.. Read more ,,3 beds3 baths4 Toilets
Oke Ira Ogba Lagos,"1,000,000/year","  Updated 14 Feb 2023, Added 09 Jan 2023 "," FOR RENT: Very Decent and Spacious 3 Bedroom Flat Apartment With Kitchen Cabinet, Prepaid .. Read more ",,3 beds0 baths0 Toilets
Sabo Yaba Lagos,"1,500,000/year","  Updated 14 Feb 2023, Added 17 Jan 2023 "," FOR RENT: *To Let A Newly Built and Decent 2 Bedroom Flat, Yaba Lagos, with amazing f.. Read more ",Newly Built,2 beds2 baths3 Toilets
Oke Ira Ogba Lagos,"900,000/year","  Updated 14 Feb 2023, Added 30 Jan 2023 "," FOR RENT: Spacious and Neat 2 Bedroom Flat Apartment, Well Tiled, Prepaid Meter, Car Park .. Read more ",,2 beds2 baths2 Toilets
Ikota Lekki Lagos,"2,200,000/year","  Updated 14 Feb 2023, Added 10 Feb 2023 ", FOR RENT: Luxury 3 Bedroom All Ensuite Apartment Rent: N2.2 Million (Upstairs) A 10% L.. Read more ,,3 beds3 baths4 Toilets
"Apata, Ayobo Ipaja Lagos","380,000/year","  Updated 14 Feb 2023, Added 27 Apr 2022 ", FOR RENT: Mini flat at so easy apata ayobo with prepaid meter. no landlord 230/50/50/50 .. Read more ,,0 beds0 baths0 Toilets
Ajayi Road Ogba Lagos,"250,000/year","  Updated 14 Feb 2023, Added 26 Oct 2022 "," FOR RENT: Very Decent and Standard Room Self Contain, Tiled All Round Tiles Off Ajayi Road.. Read more ",,0 beds0 baths0 Toilets
Magodo Gra Phase 2 Kosofe Ikosi Lagos,"3,000,000/year","  Updated 14 Feb 2023, Added 07 Feb 2023 "," FOR RENT: A nice Modern 3 bedroom flat all rooms ensuit with pop, water heater, fitted war.. Read more ",,3 beds3 baths4 Toilets
Adetola Road Aguda Surulere Lagos,"400,000/year","  Updated 14 Feb 2023, Added 09 Nov 2022 ", FOR RENT: Room Selfcon at Adetola Road Aguda Surulere Rent: 500k Note that consulta.. Read more ,,0 beds0 baths0 Toilets
Northern Foreshore Estate Chevron Drive Lekki Chevron Lekki Lagos,"6,500,000/year","  Updated 14 Feb 2023, Added 10 Jan 2023 ", FOR RENT: Location: Northern foreshore Estate Chevron drive lekki 4bedroom fully deta.. Read more ,,4 beds4 baths5 Toilets
Ikota Lekki Lagos,"2,500,000/year","  Updated 14 Feb 2023, Added 21 Jan 2023 "," FOR RENT: Newly Built 2 Bedroom Apartment For Rent Price: 2,500,000 (upstairs) Price: 2,.. Read more ",ServicedNewly Built,2 beds2 baths3 Toilets
Valley View Estate Olu Odo Ebute Axis Ikorodu Lagos,"2,000,000/year","  Updated 14 Feb 2023, Added 15 Sep 2022 ", FOR RENT: 4-bedroom duplex pop available at valley view estate olu-odo Ebute axis ikorodu .. Read more ,,0 beds0 baths0 Toilets
Lekki Phase 1 Lekki Lagos,"1,700,000/year","  Updated 14 Feb 2023, Added 08 Jan 2023 ", FOR RENT: SERVICED STANDARD SELFCON STUDIO APARTMENT NOW AVAILABLE WITH EXTRA SPACE FOR ST.. Read more ,Serviced,1 beds1 baths1 Toilets
Ogba Bus Stop Ogba Lagos,"1,200,000/year","  Updated 14 Feb 2023, Added 06 Jan 2023 ", FOR RENT: 2 bedroom House for rent Ogba Bus-stop Ogba Lagos.. Read more ,,2 beds3 baths3 Toilets
Sangotedo Ajah Lagos,"1,400,000/year","  Updated 14 Feb 2023, Added 16 Jan 2023 ", FOR RENT: Well Maintained 2 Bedroom All En-Suite Apartment Features +Interlocked Roa.. Read more ,Serviced,2 beds2 baths3 Toilets
Ifako Ogba Ogba Lagos,"1,100,000/year","  Updated 14 Feb 2023, Added 03 Feb 2023 ", FOR RENT: 3 bedroom flat at obawole 1.1m a year rent Ref much All round Pop rooms ensuit.. Read more ,,3 beds0 baths0 Toilets
Olowora Ojodu Lagos,"1,500,000/year","  Updated 14 Feb 2023, Added 22 Jan 2023 ", FOR RENT: *TO LET 3-bedroom flat at Olowora Junction behind Polaris Bank. Per Annum Rent:.. Read more ,Furnished,3 beds4 baths4 Toilets
Idado Estate Idado Lekki Lagos,"2,500,000/year","  Updated 14 Feb 2023, Added 22 Dec 2022 ", FOR RENT: SELF-SERVICED 3-BEDROOM FLAT WITHIN A QUIET NEIGHBOURHOOD FOR RENT Price: 2... Read more ,,3 beds3 baths4 Toilets
Ajuwon Alagbole Yakoyo Alagbole Ojodu Lagos,"700,000/year","  Updated 14 Feb 2023, Added 05 Feb 2023 ", FOR RENT: TO LET EXECUTIVE NEWLY BUILT 2 BEDROOM FLAT AT AJUWON AFTER ALAGBOLE RENT 700K .. Read more ,Newly Built,2 beds2 baths2 Toilets
Ikeja Gra Ikeja Lagos,"15,000,000/year","  Updated 14 Feb 2023, Added 05 Oct 2022 ", FOR RENT: To Let 5bedroom detached duplex with 1bq and service charge/pool @ikeja GRA pri.. Read more ,,0 beds0 baths0 Toilets
Adekunle Ebute Metta Yaba Lagos,"2,700,000/year","  Updated 14 Feb 2023, Added 29 Jan 2023 ", FOR RENT: Lovely .. Read more ,Newly Built,3 beds3 baths4 Toilets
Jakande Lekki Lagos,"800,000/year","  Updated 14 Feb 2023, Added 23 Oct 2022 ", FOR RENT: Sharp and Spacious Room Self Contain Apartment With Modern Facilities Equipped A.. Read more ,,0 beds0 baths0 Toilets
Ojodu Lagos,"800,000/year","  Updated 14 Feb 2023, Added 18 Oct 2022 ", FOR RENT: Now available for inspection To Let A Spacious and lovely 3bedroom flat all .. Read more ,,0 beds0 baths0 Toilets
Lekki Phase 1 Lekki Lagos,"1,000,000/year","  Updated 14 Feb 2023, Added 17 Mar 2022 ", FOR RENT: Ultra Modern and Spacious Room Self Contain With Modern Facilities Equipped In A.. Read more ,,0 beds0 baths0 Toilets
Ikota Villa Estate Lekki Lagos,"3,000,000/year","  Updated 14 Feb 2023, Added 23 Jan 2023 "," FOR RENT: 3 Bedroom Terrace Duplex for Rent Price: 3,000,000 Caution: 100,000 Legal: 30.. Read more ",ServicedNewly Built,3 beds3 baths4 Toilets
Magodo Gra Phase 1 Ojodu Lagos,"1,500,000/year","  Updated 14 Feb 2023, Added 06 Jan 2023 ", FOR RENT: Now fully out A Beautiful 3-bedroom Flat @ Magodo Phase1 Rent N1.5m p.. Read more ,Furnished,3 beds4 baths4 Toilets
Osborne Foreshore Estate Ikoyi Lagos,"4,500,000/year","  Updated 14 Feb 2023, Added 11 Jan 2023 "," FOR RENT: *FOR LEASE IN IKOYI Osborne phase 2,ikoyi 5 units of 2 bedroom terrace wi.. Read more ",Serviced,2 beds2 baths3 Toilets
Lekki Lagos,"1,200,000/year","  Updated 14 Feb 2023, Added 22 Jan 2023 ", FOR RENT: Superb and Standard Studio Apartment With Modern Facilities Equipped In A Gated .. Read more ,,0 beds0 baths0 Toilets
Obawole Ogba Ifako Ijaye Abule Egba Lagos,"5,000,000/year","  Updated 14 Feb 2023, Added 05 May 2022 ", FOR RENT: Direct brief Functioning 12rooms hotel with bar and hall with big compound at o.. Read more ,,0 beds0 baths0 Toilets
Off Ago Palace Way Okota Isolo Lagos,"2,500,000/year","  Updated 14 Feb 2023, Added 22 May 2022 "," FOR RENT: Church Space with 2bedroom on its setback, the Compound floored located Off Ag.. Read more ",,0 beds0 baths0 Toilets
Oko Oba Agege Lagos,"750,000/year","  Updated 14 Feb 2023, Added 27 Oct 2022 "," FOR RENT: TO LET / FOR RENT Very beautiful and Spacious Mini flat at MAPLEWOOD ESTATE, .. Read more ",,0 beds0 baths0 Toilets
River Valley Estate Ojodu Lagos,"350,000/year","  Updated 14 Feb 2023, Added 26 Jul 2022 ", FOR RENT: Room self contain at River valley estate Price 350k No pics.. Read more ,,0 beds0 baths0 Toilets
River Valley Estate Ojodu Lagos,"600,000/year","  Updated 14 Feb 2023, Added 08 Feb 2023 ", FOR RENT: Mini flat at river valley estate.. Read more ,,1 beds1 baths1 Toilets
Daratohs Court Akora Villas Off Adeniyi Jones Ikeja Lagos,"4,500,000/year","  Updated 14 Feb 2023, Added 02 Sep 2022 "," FOR RENT: To let, 4bedroom Terrace Duplex with 1room BQ At Daratohs Court Akora vil.. Read more ",,0 beds0 baths0 Toilets
Lekki Phase 1 Lekki Phase 1 Lekki Lagos,"2,500,000/year","  Updated 14 Feb 2023, Added 29 Jan 2023 ", FOR RENT: One bedroom flat en suite room Wardrobe Modern bathroom and toilets Fitted .. Read more ,Serviced,1 beds1 baths2 Toilets
Abule Egba Lagos,"400,000/year","  Updated 14 Feb 2023, Added 26 Jan 2023 ", FOR RENT: Just In Executive Newly Built Mini Flat In A Serene And Secured Environment. .. Read more ,,0 beds0 baths0 Toilets
Life Camp Abuja,"22,500,000","  Updated 19 Feb 2023, Added 30 Jan 2023 ", FOR SALE: A fully automated 4 bedroom flat in the heart of Lifecamp located in a serene en.. Read more,,4 beds5 baths5 Toilets
Adeniyi Jones Ikeja Lagos,"3,000,000/year","  Updated 14 Feb 2023, Added 07 Jun 2022 ", FOR RENT: PROPERTY TO LET INSIDE AN ESTATE IN OFF ADENIYI JONES AVENUE IKEJA. this is a 3b.. Read more ,,0 beds0 baths0 Toilets
Phase 2 Gbagada Lagos,"800,000/year","  Updated 14 Feb 2023, Added 08 Feb 2023 ", FOR RENT: Just out for rent decent mini flat with wardrobe @ Gbagada GRA Gbagada phase 2.. Read more ,Newly Built,1 beds1 baths2 Toilets
Oke Ira Ogba Lagos,"250,000/year","  Updated 14 Feb 2023, Added 29 Dec 2022 ", FOR RENT: Very Decent Room Self Contain Apartment With All Round Tiled In A Gated Compound.. Read more ,,0 beds0 baths0 Toilets
Ifako Ogba Ogba Lagos,"1,700,000/year","  Updated 14 Feb 2023, Added 03 Feb 2023 ", FOR RENT: *A link Newly built standard 2 bedroom all ensuite Up 1.7m down 1.6m at Coker o.. Read more ,Newly Built,2 beds2 baths3 Toilets
Oke Ira Ogba Lagos,"200,000/year","  Updated 14 Feb 2023, Added 04 Jul 2022 ", FOR RENT: Very Neat and Fresh Room Self Contain Well Tiled At Okeira Ogba #200k Kindly .. Read more ,,0 beds0 baths0 Toilets
Ishaga Iju Lagos,"550,000/year","  Updated 14 Feb 2023, Added 06 Feb 2023 "," FOR RENT: Hot letting.. Brand new mini flat pop finishing, water heater, Mabel tiles, con.. Read more ",,0 beds0 baths0 Toilets
Bariga Lagos,"300,000/year","  Updated 14 Feb 2023, Added 18 Aug 2022 "," FOR RENT: A unit Left,NEW-roomself @DOWN-Bamiji Lawal Strrt, Off Odunsi BARIGA!! With W.. Read more ",,0 beds0 baths0 Toilets
Thomas Estate Ajah Lagos,"1,800,000/year","  Updated 14 Feb 2023, Added 14 Dec 2022 ", FOR RENT: Brand New 2 Bedroom Apartment Features +Multiple balconies +Clean Treated.. Read more ,ServicedNewly Built,2 beds2 baths3 Toilets
Ogudu Gra Ogudu Lagos,"1,500,000/year","  Updated 14 Feb 2023, Added 05 Sep 2022 ", FOR RENT: Mini flat in ogudu GRA with guest toilet prepaid meter gated with parking spac.. Read more ,,0 beds0 baths0 Toilets
Ayobo Ipaja Lagos,"550,000/year","  Updated 14 Feb 2023, Added 31 May 2022 "," FOR RENT: Newly built 2bedroom 550 per annum ayobo in an estate close to the road,.. Read more ",,0 beds0 baths0 Toilets
Sangotedo Ajah Lagos,"1,200,000/year","  Updated 14 Feb 2023, Added 16 Oct 2022 "," FOR RENT: Shop Space For Rent Price: 1,200,000 Location: Sangotedo Inquiries II ins.. Read more ",Newly Built,0 beds0 baths0 Toilets
Banana Island Ikoyi Lagos,"15,000,000/year","  Updated 14 Feb 2023, Added 07 Feb 2023 "," FOR RENT: FOR RENT: 3 Bedroom waterfront apartment LOCATION: Banana Island ,Lagos. Pr.. Read more ",FurnishedServiced,3 beds3 baths4 Toilets
Onike Onike Yaba Lagos,"800,000/year","  Updated 14 Feb 2023, Added 01 Feb 2023 ", FOR RENT: Lovely .. Read more ,Newly Built,1 beds1 baths2 Toilets
Chevron Lekki Lagos,"3,000,000/year","  Updated 14 Feb 2023, Added 25 Jan 2023 ", FOR RENT: Beautiful and Spacious 2 Bedroom Flat Apartment With Modern Facilities Equipped .. Read more ,,2 beds3 baths3 Toilets
Lekki Paradise 2 Estate Chevron Lekki Lagos,"4,000,000/year","  Updated 14 Feb 2023, Added 21 Nov 2022 ", FOR RENT: A 4 bedroom terrace duplex fully serviced in a lovely well-planned estate in che.. Read more ,,4 beds4 baths5 Toilets
Isheri North Ojodu Lagos,"200,000/year","  Updated 14 Feb 2023, Added 10 Feb 2023 ", FOR RENT: To let 1room Self contain at Doc place. Oshorun inside opic. N200K rent. .. Read more ,Furnished,1 beds1 baths1 Toilets
Chevron Lekki Lagos,"3,000,000/year","  Updated 14 Feb 2023, Added 12 Jan 2023 ", FOR RENT: 2 BEDROOM APARTMENT FOR RENT. LOCATION: Lekki conservative Rent: 3m Other .. Read more ,ServicedNewly Built,2 beds2 baths3 Toilets
Chevron Lekki Lagos,"2,500,000/year","  Updated 14 Feb 2023, Added 09 Feb 2023 "," FOR RENT: 2 Bedroom Flat For Rent Price: 2,500,000 Caution: 200,000 Legal: 250,000 Ag.. Read more ",Newly Built,2 beds2 baths3 Toilets
Oke Ira Ogba Lagos,"1,200,000/year","  Updated 14 Feb 2023, Added 23 Jan 2023 "," FOR RENT: Executive and Standard 3 Bedroom Flat Apartment With All Round Tiles, Prepaid Me.. Read more ",,3 beds3 baths3 Toilets
Magboro Via Ojodu Berger Ojodu Lagos,"400,000/year","  Updated 14 Feb 2023, Added 26 Jan 2023 "," FOR RENT: *2 bedroom flat letting @ N400k rent: GATEWAY CITY ESTATE, Near Spark Light Es.. Read more ",Furnished,2 beds3 baths3 Toilets
"Waziri Ibrahim Crescent Off Elsie Femi Pearse, Kofo Abayomi Victoria Island Lagos","3,000,000/year","  Updated 14 Feb 2023, Added 23 Jan 2023 ", FOR RENT: *LETTINGS *FURNISHED & SERVICE APARTMENT @ VICTORIA ISLAND A very Spacious f.. Read more ,FurnishedServiced,1 beds1 baths2 Toilets
Omole Phase 2 Ojodu Lagos,"4,000,000/year","  Updated 14 Feb 2023, Added 13 Dec 2022 "," FOR RENT: TO-LET 4 Bedroom Duplex at Omole ph2, self Compound [email protected] per Annum Pix av.. Read more ",,4 beds0 baths0 Toilets
Oral Estate Lekki Lagos,"2,500,000/year","  Updated 14 Feb 2023, Added 06 Jan 2023 ", FOR RENT: Relatively Clean and Standard 2 Bedroom Flat Apartment All Round Tiles In A Secu.. Read more ,,2 beds2 baths3 Toilets
Yakoyo Alagbole Ojodu Lagos,"200,000/year","  Updated 14 Feb 2023, Added 15 Jun 2022 ", FOR RENT: To let?? Roomself contain behind Femi kuti house Oni street Alagbole Ajuwon .. Read more ,,0 beds0 baths0 Toilets
