Location,Price_Period,Date_Added_Updated,Description,Serviced,Bed_Bath_Toilet
Jibowu Yaba Lagos,"450,000/year","  Updated 14 Feb 2023, Added 19 Jun 2022 ", FOR RENT: Direct Brief A newly built room self contain at jibowu off Morocco rd by Igbo.. Read more ,Newly Built, beds1 baths1 Toilets
Old Ikoyi Ikoyi Lagos,"13,000,000/year","  Updated 14 Feb 2023, Added 07 Feb 2023 ", FOR RENT: FOR RENT: Spacious 3 Bedroom with a BQ Price: 13m Service : 3m Property.. Read more ,Serviced,3 beds3 baths4 Toilets
Ikota Lekki Lagos,"2,300,000/year","  Updated 14 Feb 2023, Added 10 Feb 2023 ", FOR RENT: Luxury 2 Bedroom Fully Serviced Apartment Features +About 20 Hours Light G.. Read more ,ServicedNewly Built,2 beds2 baths3 Toilets
Behind Salem On A Tarred Road From The House To The Express Ilasan Lekki Lagos,"2,400,000/year","  Updated 14 Feb 2023, Added 20 Dec 2022 ", FOR RENT: 2 units of the new 2-bedroom apartments with a tarred road from Lekki/Epe expres.. Read more ,,2 beds2 baths3 Toilets
Seaside Estate Badore Ajah Lagos,"1,200,000/year","  Updated 14 Feb 2023, Added 09 Jan 2023 "," FOR RENT: FOR RENT 4Units of 2Bedroom Flat all rooms ensuite Location;;Seaside Estate, .. Read more ",,2 beds2 baths3 Toilets
Yakoyo Alagbole Ojodu Lagos,"1,000,000/year","  Updated 14 Feb 2023, Added 03 Feb 2023 ", FOR RENT: TO LET EXECUTIVE 4 BEDROOM DUPLEX AT MUBARAK BUS STOP AFTER ALAGBOLE OJODU RENT.. Read more ,,4 beds4 baths4 Toilets
Ikota Lekki Lagos,"2,500,000/year","  Updated 14 Feb 2023, Added 08 Feb 2023 "," FOR RENT: 3 Bedroom Apartment For Rent Price: 2,500,000 Caution: 250,000 Legal: 250,000.. Read more ",,3 beds3 baths3 Toilets
Yakoyo Alagbole Ojodu Lagos,"2,000,000/year","  Updated 14 Feb 2023, Added 10 Feb 2023 ", FOR RENT: TO LET 4 BEDROOM DUPLEX AT YAKOYO OJODU BERGER LAGOS RENT 2M PER ANNUM AGENC.. Read more ,,4 beds4 baths4 Toilets
Olowora Ojodu Lagos,"2,500,000/year","  Updated 14 Feb 2023, Added 15 Jan 2023 ", FOR RENT: Newly built 2 bedroom flat in olowora for 2.5m .. Read more ,FurnishedNewly Built,2 beds3 baths3 Toilets
Olokonla Ajah Lagos,"1,000,000/year","  Updated 14 Feb 2023, Added 24 Jan 2023 ", FOR RENT: Brand New Mini Ensuite Apartment inside an Estate Features +Brand new +Clos.. Read more ,ServicedNewly Built,1 beds1 baths1 Toilets
Berger Ojodu Lagos,"1,400,000/year","  Updated 14 Feb 2023, Added 25 May 2022 ", FOR RENT: SEMI Direct Instruction Our client is relocating abroad so decided to sell a.. Read more ,,0 beds0 baths0 Toilets
Badore Ajah Lagos,"1,000,000/year","  Updated 14 Feb 2023, Added 23 Dec 2022 ", FOR RENT: A sharp two bedroom flat in an estate! Oluomo .. Read more ,Newly Built,2 beds0 baths0 Toilets
Magodo Brooks Magodo Kosofe Ikosi Lagos,"2,500,000/year","  Updated 14 Feb 2023, Added 06 Jan 2023 ", FOR RENT: A LOVELY 3 BEDROOM FLAT ESTATE OFF CMD ROAD RENT N2.5M OTHER CHARGES FOLLOW .. Read more ,,3 beds3 baths4 Toilets
Ikota Lekki Lagos,"3,500,000/year","  Updated 14 Feb 2023, Added 03 Jan 2023 ", FOR RENT: TO LET AT IKOTA VILLA A WELL-FINISHED TASTEFULLY SERVICED 4 BEDROOM TERRACE D.. Read more ,ServicedNewly Built,4 beds4 baths5 Toilets
Ikota Lekki Lagos,"2,200,000/year","  Updated 14 Feb 2023, Added 19 Dec 2022 "," FOR RENT: Comfortable and Sharp 2 Bedroom Flat With All Round Tiles, Prepaid Meter, Ensuit.. Read more ",,2 beds0 baths0 Toilets
Orchid Hotel Road Chevron Lekki Lagos,"4,000,000/year","  Updated 14 Feb 2023, Added 05 Feb 2023 ", FOR RENT: *RENT ALERT* A newly built tastefully 4 Bedroom Terrace Duplex ensuite with f.. Read more ,ServicedNewly Built,4 beds4 baths5 Toilets
Shangisha Kosofe Ikosi Lagos,"1,000,000/year","  Updated 14 Feb 2023, Added 04 Feb 2023 ", FOR RENT: Newly renovated Mini flat at shangisha with standard parlour and bedroom with .. Read more ,,1 beds1 baths1 Toilets
Ogba Lagos,"6,000,000/year","  Updated 14 Feb 2023, Added 20 May 2022 ", FOR RENT: 4bedrooms semi detatch duplex with a room bq for rent at agbalajobi estate off .. Read more ,,0 beds0 baths0 Toilets
Ayobo Ipaja Alimosho Lagos,"550,000/year","  Updated 14 Feb 2023, Added 29 Nov 2022 ", FOR RENT: 2 bedroom flat all rooms ensuite at abiola progressive estate ayobo rent 550k di.. Read more ,,0 beds0 baths0 Toilets
Idado Lekki Lagos,"6,000,000/year","  Updated 14 Feb 2023, Added 05 Feb 2023 "," FOR RENT: 4 bedrooms detached duplex, with boys quarter idado estate lekki. Rent 6 million.. Read more ",,4 beds4 baths5 Toilets
Banana Island Ikoyi Lagos,"25,000,000/year","  Updated 14 Feb 2023, Added 09 Feb 2023 ", FOR RENT: A cley 4 bedroom apartment at Ocean parade on the 3 floor.. Read more ,Serviced,4 beds4 baths5 Toilets
"Harmony Villa Estate Opic, Ojodu Lagos","2,300,000/year","  Updated 14 Feb 2023, Added 19 Sep 2022 ", FOR RENT: TO LET: Harmony Villa Estate At Opic Lagos State: Well maintained 4 Bedroo.. Read more ,,0 beds0 baths0 Toilets
Ikota Lekki Lagos,"3,000,000/year","  Updated 14 Feb 2023, Added 23 Jan 2023 "," FOR RENT: 3 Bedroom Apartment For Rent Price: ?3,000,000 Caution: ?100,000 Legal: ?300.. Read more ",Newly Built,3 beds3 baths4 Toilets
Magodo Gra Phase 2 Kosofe Ikosi Lagos,"4,000,000/year","  Updated 14 Feb 2023, Added 19 Oct 2022 ", FOR RENT: JUST OUT Lovely relatively new standard 3bedroom with all room ensuite in a s.. Read more ,,0 beds0 baths0 Toilets
Monastery Road Sangotedo Lagos,"5,000,000/year","  Updated 14 Feb 2023, Added 07 Feb 2023 ", FOR RENT: Fully Furnished executive 5 bedroom detached House Location: Fountain Spring.. Read more ,Furnished,5 beds5 baths6 Toilets
Omole Phase 1 Ojodu Lagos,"6,000,000/year","  Updated 14 Feb 2023, Added 22 Dec 2022 "," FOR RENT: A magnificent 4 units of 4 bedrooms detatched duplex for rent with bq, swimming .. Read more ",,4 beds4 baths5 Toilets
Berger Ojodu Lagos,"900,000/year","  Updated 14 Feb 2023, Added 31 Jan 2023 ", FOR RENT: *Just In *To Let 2 bedroom apartment with 2t n bath upstairs with p o p .. Read more ,,2 beds2 baths3 Toilets
"Morgan Estate, Ojodu Lagos","1,200,000/year","  Updated 14 Feb 2023, Added 16 May 2022 ", FOR RENT: Lovely spacious 3 bedroom with dining table full with p o p ceiling 1.2m upstai.. Read more ,,0 beds0 baths0 Toilets
Ajayi Road Ogba Lagos,"1,500,000/year","  Updated 14 Feb 2023, Added 22 Dec 2022 ", FOR RENT: Executive and Fresh 3 Bedroom Flat Apartment Well Tiled All Round In A Gated Com.. Read more ,,3 beds0 baths0 Toilets
Berger Ojodu Lagos,"500,000/year","  Updated 14 Feb 2023, Added 07 Feb 2023 ", FOR RENT: To let mini flat at ojodu with 2 toilet going for 500k .. Read more ,Furnished,1 beds2 baths2 Toilets
Lekki Phase 1 Lekki Lagos,"15,000,000/year","  Updated 14 Feb 2023, Added 23 Jan 2023 ", FOR RENT: Modern brand new 5 bedroom fully detached duplex with two rooms bq Features .. Read more ,,5 beds5 baths6 Toilets
Ilupeju Lagos,"3,000,000/year","  Updated 14 Feb 2023, Added 09 Feb 2023 ", FOR RENT: 3 bedroom duplex with bq in ilupeju estate for #3m per annum... Read more ,,0 beds0 baths0 Toilets
Ikota Lekki Lagos,"3,500,000/year","  Updated 14 Feb 2023, Added 04 Feb 2023 ", FOR RENT: Renovated 4 Bedroom Semi Detached Duplex Rent: N3.5 Million Agency; 10% Le.. Read more ,Serviced,4 beds4 baths5 Toilets
Aguda(ogba) Ogba Lagos,"900,000/year","  Updated 14 Feb 2023, Added 15 Dec 2022 "," FOR RENT: Excellent and Standard 2 Bedroom Flat Apartment, Well Tiled, Prepaid Meter Etc A.. Read more ",,2 beds0 baths0 Toilets
Jakande Lekki Lagos,"3,000,000/year","  Updated 14 Feb 2023, Added 15 Dec 2022 "," FOR RENT: Magnificent and Standard 3 Bedroom Flat Apartment With Modern Facilities, Prepai.. Read more ",,3 beds3 baths4 Toilets
Magodo Gra Phase 2 Kosofe Ikosi Lagos,"3,500,000/year","  Updated 14 Feb 2023, Added 20 Jun 2022 ", FOR RENT: JUST OUT 4BEDROOM SEMI DETACHED DUPLEX WITH A GATEHOUSE IN SERENE ENVIRONMENT.. Read more ,,0 beds0 baths0 Toilets
Ogudu Lagos,"700,000/year","  Updated 14 Feb 2023, Added 26 Jul 2022 ", FOR RENT: An executive miniflat now available @ ogudu for 700k.. *Female working class .. Read more ,,0 beds0 baths0 Toilets
Berger Ojodu Lagos,"1,000,000/year","  Updated 14 Feb 2023, Added 18 Jan 2023 ", FOR RENT: *Just In *To Let Very Standard and Spacious 3 Bedroom Flat In A Gated Street.. Read more ,Furnished,3 beds4 baths4 Toilets
Omole Phase 1 Ojodu Lagos,"7,500,000","  Updated 14 Feb 2023, Added 30 Aug 2022 ", FOR RENT: To let in omole phase1 Estate Modern 5 bedroom detached houses with Bq 7.5mill.. Read more ,,0 beds0 baths0 Toilets
Akoka Yaba Lagos,"600,000/year","  Updated 14 Feb 2023, Added 23 Jan 2023 ", FOR RENT: Lovely .. Read more ,Newly Built,1 beds1 baths1 Toilets
"Off Fola Street Via Alapere, Ogudu Orike Ogudu Lagos","1,000,000/year","  Updated 14 Feb 2023, Added 01 Jun 2022 ", FOR RENT: A super fantastic Lovely spacious 2-bedroom flat All rooms ensuite fitted kitch.. Read more ,Newly Built, beds baths Toilets
Abiola Farm Ayobo Ipaja Lagos,"500,000/year","  Updated 14 Feb 2023, Added 09 Sep 2022 ", FOR RENT: 2bedroom Abiola farm all room ensuite with wardrobes prepaid meter 500 per annum.. Read more ,,0 beds0 baths0 Toilets
New Garage Gbagada Lagos,"900,000/year","  Updated 14 Feb 2023, Added 03 Feb 2023 ", FOR RENT: Relatively new miniflat with 2 toilet at new garage Gbagada. Rent is #900 AKA.. Read more ,,1 beds1 baths2 Toilets
Isheri North Ojodu Lagos,"1,700,000/year","  Updated 14 Feb 2023, Added 12 Feb 2023 ", FOR RENT: 2 bedroom flat with inverter for electricity supply at Greenfield Estate for #1... Read more ,Furnished,2 beds3 baths3 Toilets
Osapa London Lekki Lagos,"1,000,000/year","  Updated 14 Feb 2023, Added 22 Oct 2022 "," FOR RENT: Standard and Modern Room Self Contain Apartment With Pop Design, Prepaid Meter,K.. Read more ",, beds baths Toilets
