Location,Description,Listing_Type,Price,Beds,Baths,Toilets,City,Location_Area,Newly Built,Furnished,Serviced,Date_Added,Date_Updated
Close To Ekore Bus Stop Oworonshoki Gbagada Lagos," FOR RENT: Newly Built miniflat with pop,Easy access to third mainland bridge .. Read more ",Rent,500000.0,1.0,1.0,0.0,Gbagada,Mainland,0.0,0.0,0.0,2023-01-10,2023-02-18
Off Diya Road Gbagada Lagos, FOR RENT: Newly built miniflat in a gated compound with modern facilities .. Read more ,Rent,1000000.0,1.0,2.0,1.0,Gbagada,Mainland,0.0,0.0,0.0,2023-01-28,2023-02-18
Ebute Metta Yaba Lagos, FOR RENT: Tastefully built apartments in a nice location close to third mainland bridge of.. Read more ,Rent,1500000.0,2.0,3.0,3.0,Yaba,Mainland,0.0,0.0,0.0,2023-02-10,2023-02-18
Badore Ajah Lagos, FOR RENT: Brand New 2 Bedroom All Ensuite Apartment Rent: N1.1 Million (Upstairs N1.2M.. Read more ,Rent,1100000.0,2.0,2.0,3.0,Ajah,Island,1.0,0.0,0.0,2023-02-18,2023-02-18
Chevron Alternative Lekki Lagos, FOR RENT: A new and spacious 5 Bedroom Semi Detached Duplex for rent at Chevron. Rent: 5M.. Read more ,Rent,5000000.0,5.0,5.0,6.0,Lekki,Island,0.0,0.0,0.0,2022-12-10,2023-02-18
In A Gated And Secured Tarred Street Oke Ira Ogba Lagos," FOR RENT: A standard 3bed apartment 2b 3t and separate meter, gated compound, spacious ca.. Read more ",Rent,1000000.0,3.0,,3.0,Ogba,Mainland,0.0,0.0,0.0,2023-02-18,2023-02-18
Abijo Ajah Lagos, FOR RENT: Tastefully finished 2 bedroom for rent rent 800k Agency 10% Agreement 10% .. Read more ,Rent,800000.0,2.0,3.0,3.0,Ajah,Island,1.0,0.0,0.0,2023-01-26,2023-02-18
Badore Ajah Lagos, FOR RENT: FOR-LEASE EXECUTIVE ELEVEN(11) HOTEL ROOMS SITTING ON 653.548SQM LOCATIO.. Read more ,Rent,12000000.0,10.0,0.0,0.0,Ajah,Island,0.0,0.0,0.0,2023-02-18,2023-02-18
Agungi Lekki Lagos, FOR RENT: Nicely Built 4 Bedroom Maisonette; Location: Agungi Rent: N4million Age.. Read more ,Rent,4000000.0,4.0,4.0,5.0,Lekki,Island,0.0,0.0,0.0,2023-02-13,2023-02-18
"Taodak Estate, Ifako Gbagada Gbagada Lagos", FOR RENT: FOR RENT! NEWLY BUILT & SPACIOUS 3-BEDROOM FLAT! FEATURES: GROUNDFLOOR .. Read more ,Rent,2500000.0,3.0,4.0,4.0,Gbagada,Mainland,1.0,0.0,0.0,2022-12-18,2023-02-18
Ajah Lagos, FOR RENT: Nicely Built 3 Bedroom Apartment; Location: Ajah Rent: N3.5 million Agenc.. Read more ,Rent,3500000.0,3.0,3.0,4.0,Ajah,Island,0.0,0.0,1.0,2023-02-14,2023-02-18
Ojo Lagos," FOR RENT: 5-bay warehouse on 1.5 acres of land by Navy Town, Satellite Town, Lagos. TITL.. Read more ",Rent,1200000000.0,0.0,0.0,0.0,Ojo,Mainland,0.0,0.0,0.0,2022-06-17,2023-02-18
Orchid Road Chevron Lekki Lagos, FOR RENT: A 4 bedroom terrace duplex is available for rent immediately at orchid Road lekk.. Read more ,Rent,4000000.0,4.0,4.0,5.0,Lekki,Island,0.0,0.0,0.0,2022-12-11,2023-02-18
Chevron Lekki Lagos, FOR RENT: Newly Built 6 Units of Serviced 4 Bedrooms Detached Duplex & BQ; Location: Ch.. Read more ,Rent,7000000.0,6.0,6.0,7.0,Lekki,Island,1.0,0.0,0.0,2023-01-22,2023-02-18
Chevron Lekki Lagos, FOR RENT: Furnished 4 Bedroom Semi Detached Duplex; Location: Chevron Rent: N5.5mill.. Read more ,Rent,5500000.0,4.0,4.0,5.0,Lekki,Island,0.0,1.0,0.0,2023-01-17,2023-02-18
Off Bourdillon Road Ikoyi Lagos," FOR RENT: Spacious 4 Bedroom flat with a bq Location: Off Bourdillon Road, Ikoyi R.. Read more ",Rent,16000000.0,4.0,4.0,5.0,Ikoyi,Island,0.0,0.0,0.0,2022-12-15,2023-02-18
Osapa Lekki Lagos, FOR RENT: 5 Bedroom fully Detached with 2 rooms B.Q; Location: Osapa Rent: N8milli.. Read more ,Rent,8000000.0,5.0,5.0,6.0,Lekki,Island,0.0,0.0,0.0,2023-01-18,2023-02-18
Soluyi Gbagada Lagos, FOR RENT: FOR RENT!!! DECENT & SPACIOUS 3 BEDROOM FLAT!!! FEATURES: LOCATION:POPOOLA BA.. Read more ,Rent,1500000.0,3.0,1.0,2.0,Gbagada,Mainland,0.0,0.0,0.0,2023-01-25,2023-02-18
Ikate Lekki Lagos, FOR RENT: Newly Built 4 Bedroom Terrace Duplex with B.Q; Location: Ikate Rent: N7.5m.. Read more ,Rent,7500000.0,4.0,4.0,5.0,Lekki,Island,1.0,0.0,1.0,2023-01-17,2023-02-18
Ologolo Lekki Lagos, FOR RENT: This serviced beautifully designed house is within a secured estate with good ro.. Read more ,Rent,8000000.0,4.0,4.0,5.0,Lekki,Island,1.0,0.0,1.0,2022-12-15,2023-02-18
Ikota Lekki Lagos, FOR RENT: A newly built 4-bedroom terrace duplex is available for rent immediately at vgc .. Read more ,Rent,3500000.0,4.0,4.0,5.0,Lekki,Island,1.0,0.0,0.0,2023-02-07,2023-02-18
Banana Island Ikoyi Lagos, FOR RENT: Spacious 5 Bedroom Semi-Detached Duplex with a bq; Location: Banana Island .. Read more ,Rent,25000000.0,5.0,5.0,6.0,Ikoyi,Island,0.0,0.0,0.0,2023-02-09,2023-02-18
Orchid Lekki Lagos, FOR RENT: Nicely Built 2 Bedroom Apartment; Location: Orchid Rent: N3.2million Age.. Read more ,Rent,3200000.0,2.0,2.0,3.0,Lekki,Island,1.0,0.0,0.0,2023-02-14,2023-02-18
Millenuim Ups Gbagada Lagos, FOR RENT: FOR RENT!! RELATIVELY NEW & SPACIOUS 3-BEDROOM FLAT!!! LOCATION:MILLENIUM ESTA.. Read more ,Rent,3000000.0,3.0,4.0,4.0,Gbagada,Mainland,0.0,0.0,0.0,2023-01-12,2023-02-18
Agungi Lekki Lagos, FOR RENT: SELF-SERVICED 4-BEDROOM TERRACE DUPLEX WITHIN A SERENE NEIGHBOURHOOD Location:.. Read more ,Rent,4200000.0,4.0,4.0,5.0,Lekki,Island,0.0,0.0,0.0,2023-02-08,2023-02-18
Ilaje Ajah Lagos, FOR RENT: FOR RENT/2 BEDROOM/1.2M/AJAH SELF SERVICED 2 BEDROOM APARTMENT WITHIN A SE.. Read more ,Rent,1200000.0,2.0,2.0,3.0,Ajah,Island,1.0,0.0,0.0,2023-01-31,2023-02-18
Lekki Lagos," FOR RENT: Nicely Built 4 Bedroom Detached Duplex; Location: Orchid, Lekki Rent: N5mi.. Read more ",Rent,5000000.0,4.0,4.0,5.0,Lekki,Island,0.0,0.0,0.0,2023-01-22,2023-02-18
"Off Adeniyi Jones, Ikeja Lagos", FOR RENT: FOR RENT!!! LUXURY-BUILT 5-BEDROOM SEMI-DETACHED DUPLEX+ BQ... FEATURES: A RO.. Read more ,Rent,12000000.0,5.0,6.0,6.0,Ikeja,Mainland,1.0,0.0,0.0,2023-02-09,2023-02-18
"Charly Boy, Phase 1 Gbagada Lagos", FOR RENT: FOR RENT DECENT PORTABLE & SRVICED 2BEDROOM FLAT FEATURES: UPSTAIRS BOTH .. Read more ,Rent,2000000.0,2.0,3.0,3.0,Gbagada,Mainland,0.0,0.0,1.0,2023-02-12,2023-02-18
Lagos Business School Ajah Lagos, FOR RENT: A newly built 3 bedroom terrace duplex with 24hrs electricity and water supply i.. Read more ,Rent,3300000.0,3.0,3.0,4.0,Ajah,Island,1.0,0.0,1.0,2022-12-11,2023-02-18
Ifako Gbagada Gbagada Lagos, FOR RENT: FOR RENT!!! DECENT 4 BEDROOM SEMI-DETACHED DUPLEX... LOCATION:GLORY ESTATE IFA.. Read more ,Rent,4500000.0,4.0,5.0,5.0,Gbagada,Mainland,0.0,0.0,0.0,2023-01-30,2023-02-18
"Eric Emmanuel Crescent, Bode Thomas Surulere Lagos", FOR RENT: FOR RENT!!! NEWLY BUILT 3UNITS OF 2BEDROOM FLATS.. .. Read more ,Rent,3000000.0,2.0,3.0,3.0,Surulere,Mainland,1.0,0.0,0.0,2023-01-13,2023-02-18
Ikoyi Lagos, FOR RENT: Spacious & fully Furnished 3 Bedroom flat with a bq; Location: Mojisola Oniko.. Read more ,Rent,18000000.0,3.0,3.0,4.0,Ikoyi,Island,0.0,0.0,1.0,2023-01-20,2023-02-18
"Walter Siffery, Ifako Gbagada Gbagada Lagos", FOR RENT: DECENT & SPACIOUS 3BEDROOM FLAT!!! LOCATION:WALTE.. Read more ,Rent,2500000.0,3.0,4.0,4.0,Gbagada,Mainland,0.0,0.0,0.0,2023-01-10,2023-02-18
Ikota Lekki Lagos, FOR RENT: A newly built 2-bedroom apartment is available for rent immediately at ikota by .. Read more ,Rent,2500000.0,2.0,2.0,3.0,Lekki,Island,1.0,0.0,0.0,2023-02-07,2023-02-18
Ifako Gbagada Gbagada Lagos, FOR RENT: FOR RENT!!! NEWLY BUILT MODERN 3-BEDROOM FLAT!!! FEATURES: UPSTAIRS ALL ROOM.. Read more ,Rent,3000000.0,3.0,4.0,4.0,Gbagada,Mainland,1.0,0.0,0.0,2023-02-03,2023-02-18
"Medina Estate, Medina Gbagada Lagos", FOR RENT: DECENT 2 BEDROOM FLAT FEATURES: GROUND FLOOR BOTH ROOMS EN-SUITE BEAUTIFUL.. Read more ,Rent,2200000.0,2.0,3.0,3.0,Gbagada,Mainland,0.0,0.0,0.0,2023-02-16,2023-02-18
Millenuim Ups Gbagada Lagos, FOR RENT: NEWLY BUILT 4-BEDROOM SEMI-DETACHED DUPLEX LOCATION: MILLENIUM ESTATE GBAGA.. Read more ,Rent,6500000.0,0.0,0.0,0.0,Gbagada,Mainland,0.0,0.0,0.0,2023-02-04,2023-02-18
Ologolo Lekki Lagos, FOR RENT: Newly Built 4 Bedroom Terrace Duplex; Location: Ologolo Rent: N8million .. Read more ,Rent,8000000.0,4.0,4.0,5.0,Lekki,Island,1.0,0.0,0.0,2023-01-17,2023-02-18
"Fehintola Giwa, Surulere Lagos", FOR RENT: FOR RENT!!! DECENT 2UNITS OF 2BEDROOM FLATS!!! FEATURES: UPSTAIRS & DOWNSTAIR.. Read more ,Rent,1100000.0,2.0,3.0,3.0,Surulere,Mainland,0.0,0.0,0.0,2023-02-09,2023-02-18
Akoka Yaba Lagos, FOR RENT: FOR RENT! 6-BEDROOM DETACHED DUPLEX! FEATURES: A ROOM BQ ALL ROOMS ENSUI.. Read more ,Rent,4000000.0,6.0,7.0,7.0,Yaba,Mainland,0.0,0.0,0.0,2022-12-18,2023-02-18
"Pedro Road, Shomolu Lagos", FOR RENT: MINI FLAT FOR LEASE!!! FEATURES: A ROOM ENSUITE+ GUEST TOILET BEAUTIFUL P.O.P.. Read more ,Rent,6700000.0,1.0,2.0,2.0,Shomolu,Mainland,1.0,0.0,0.0,2023-01-26,2023-02-18
Bode Thomas Surulere Lagos, FOR RENT: FOR RENT!!! NEWLY RENOVATED MINIFLAT!! FEATURES: UPSTAIRS BEAUTIFUL P.O.P .. Read more ,Rent,1300000.0,1.0,2.0,2.0,Surulere,Mainland,0.0,0.0,0.0,2023-02-09,2023-02-18
Chevron Lekki Lagos, FOR RENT: Fully Furnished 4 Bedroom Semi-Detached Duplex; Location: Chevron Price: N.. Read more ,Rent,7000000.0,4.0,4.0,5.0,Lekki,Island,0.0,1.0,1.0,2023-01-18,2023-02-18
Ikota Lekki Lagos," FOR RENT: Tastefully Built 4 Bedroom Terrace Duplex; Location: Ikota, Lekki Rent: N4.. Read more ",Rent,6000000.0,4.0,4.0,5.0,Lekki,Island,0.0,1.0,1.0,2023-01-22,2023-02-18
Ajah Lagos, FOR RENT: Newly Built 5-Bedroom Terrace Duplex; Location: Ajah Rent: N5million Age.. Read more ,Rent,5000000.0,5.0,5.0,6.0,Ajah,Island,0.0,0.0,0.0,2023-02-07,2023-02-18
Orchid Road Chevron Lekki Lagos, FOR RENT: A newly built 4bedroom fully detached duplex with BQ is available for rent immed.. Read more ,Rent,6000000.0,4.0,4.0,5.0,Lekki,Island,1.0,0.0,0.0,2022-11-25,2023-02-18
Lekki Lagos, FOR RENT: FOR RENT!!! NEWLY BUILT 4 BEDROOM TERRACE DUPLEX+ BQ FEATURES: A ROOM BQ ALL.. Read more ,Rent,7000000.0,4.0,5.0,5.0,Lekki,Island,1.0,0.0,0.0,2023-01-31,2023-02-18
Chevron Lekki Lagos, FOR RENT: A newly built 4 bedroom semi-detached duplex with BQ is available for rent immed.. Read more ,Rent,5000000.0,4.0,4.0,5.0,Lekki,Island,1.0,0.0,0.0,2023-02-07,2023-02-18
Banana Island Ikoyi Lagos, FOR RENT: FOR RENT Newly built 8 numbers of 4 bedrooms semi detached duplex at Banana i.. Read more ,Rent,30000000.0,0.0,0.0,0.0,Ikoyi,Island,0.0,0.0,0.0,2023-02-16,2023-02-18
Victoria Island Lagos, FOR RENT: FOR RENT!! LUXURY BUILT & TASTEFULLY FINISHED 20 UNITS OF 2-BEDROOM & 3-BEDRO.. Read more ,Rent,7500000.0,3.0,0.0,0.0,Victoria Island,Island,1.0,0.0,0.0,2023-02-07,2023-02-18
Oniru Victoria Island Lagos, FOR RENT: Nicely Built 4 Bedroom Terrace Duplex; Price: Rent: N10million Sales: N230.. Read more ,Rent,10000000.0,4.0,4.0,5.0,Victoria Island,Island,0.0,0.0,0.0,2022-12-15,2023-02-18
Ikate Elegushi Ikate Lekki Lagos," FOR RENT: FULLY AUTOMATED FIVE(5)BEDROOM FULLY DETACHED DUPLEX WITH A ROOM BQ, POOL WITHI.. Read more ",Rent,400000000.0,5.0,5.0,6.0,Lekki,Island,1.0,0.0,0.0,2023-02-17,2023-02-18
Lagos Business School Ajah Lagos, FOR RENT: A newly built 2 bedroom terrace duplex is available for rent immediately at lago.. Read more ,Rent,2900000.0,2.0,2.0,3.0,Ajah,Island,1.0,0.0,1.0,2022-12-16,2023-02-18
Banana Island Ikoyi Lagos," FOR RENT: Spacious 3 Bedroom flat with a bq Location: Banana Island, Ikoyi Rent: N1.. Read more ",Rent,12000000.0,3.0,3.0,4.0,Ikoyi,Island,0.0,0.0,0.0,2023-01-15,2023-02-18
Lekki Phase 1 Lekki Lagos, FOR RENT: Nicely Built Decently Finished 4 Bedroom Semi Detached House; Location: Lekki.. Read more ,Rent,11000000.0,4.0,4.0,5.0,Lekki,Island,0.0,0.0,0.0,2023-01-19,2023-02-18
Orchid Lekki Lagos," FOR RENT: Beautiful 4 Bedroom Terrace Duplex; Location: Orchid, Lekki Rent: N3.5mill.. Read more ",Rent,3500000.0,4.0,4.0,5.0,Lekki,Island,0.0,0.0,0.0,2023-01-22,2023-02-18
Soluyi Gbagada Lagos," FOR RENT: FOR RENT!!! 4BEDROOM SEMI-DETACHED DUPLEX (NO BQ)... LOCATION:SOSANYA ESTATE, .. Read more ",Rent,4500000.0,4.0,5.0,5.0,Gbagada,Mainland,0.0,0.0,0.0,2023-01-27,2023-02-18
Gerard Road Ikoyi Lagos," FOR RENT: Spacious 3 Bedroom flat with a bq; Location: Gerard Road, Ikoyi Rent: N12M.. Read more ",Rent,12000000.0,3.0,3.0,4.0,Ikoyi,Island,0.0,0.0,0.0,2023-01-15,2023-02-18
Lagos Business School Ajah Lagos, FOR RENT: A newly built 4 bedroom semi detached duplex with BQ is available for sale immed.. Read more ,Rent,63000000.0,4.0,4.0,4.0,Ajah,Island,1.0,0.0,0.0,2022-11-11,2023-02-18
Ikoyi Lagos, FOR RENT: Lovely 3 Bedroom Maisonette; Location: Ikoyi Rent: N10million Service cha.. Read more ,Rent,10000000.0,3.0,3.0,4.0,Ikoyi,Island,0.0,0.0,1.0,2023-01-13,2023-02-18
"Medina Estate, Gbagada Lagos", FOR RENT: FOR RENT!!! TASTEFULLY FINISHED 4-BEDROOM TERRACE DUPLEXES!!! FEATURES: ALL R.. Read more ,Rent,5000000.0,4.0,5.0,5.0,Gbagada,Mainland,1.0,0.0,0.0,2023-01-27,2023-02-18
Osapa London Lekki Lagos, FOR RENT: 4 BEDROOM/FOR RENT/7.5M/OSAPA 4BEDROOM SEMI DETACHED DUPLEX WITH BQ WITHIN A.. Read more ,Rent,7500000.0,4.0,4.0,5.0,Lekki,Island,1.0,0.0,0.0,2023-01-20,2023-02-18
Medina Gbagada Lagos, FOR RENT: FOR RENT DECENT & SPACIOUS 5-BEDROOM DUPLEX FEATURES: POP FINISHINGS A.. Read more ,Rent,5000000.0,5.0,6.0,6.0,Gbagada,Mainland,0.0,0.0,0.0,2022-11-20,2023-02-18
Osapa London Lekki Lagos, FOR RENT: Furnished 5 Bedroom Detached Duplex; Location: Osapa London Rent: N20milli.. Read more ,Rent,20000000.0,5.0,5.0,6.0,Lekki,Island,0.0,1.0,0.0,2023-02-14,2023-02-18
Thomas Estate Ajah Lagos, FOR RENT: A new 4-bedroom fully detached duplex with BQ is available for rent immediately .. Read more ,Rent,5500000.0,4.0,4.0,5.0,Ajah,Island,1.0,0.0,0.0,2022-11-18,2023-02-18
Ologolo Lekki Lagos, FOR RENT: Newly Built 4 Bedroom Semi Detached Duplex Location: Ologolo Price: N5mil.. Read more ,Rent,5000000.0,4.0,4.0,5.0,Lekki,Island,1.0,0.0,0.0,2023-01-31,2023-02-18
Off Gerard Ikoyi Lagos, FOR RENT: SERVICED 3BEDROOM APARTMENT WITHIN A SECURED NEIGHBORHOOD Location: Ikoyi Lagos.. Read more ,Rent,12000000.0,3.0,3.0,4.0,Ikoyi,Island,0.0,0.0,1.0,2023-02-15,2023-02-18
Lagos Business School Area Ajah Lagos, FOR RENT: A newly built 2 bedroom flat is available for rent immediately at the Lagos busi.. Read more ,Rent,1400000.0,2.0,2.0,3.0,Ajah,Island,1.0,0.0,0.0,2023-02-10,2023-02-18
Old Ikoyi Ikoyi Lagos," FOR RENT: Spacious 3 Bedroom Terrace Duplex with a bq Location: Old Ikoyi, Ikoyi Re.. Read more ",Rent,8000000.0,3.0,3.0,4.0,Ikoyi,Island,0.0,0.0,1.0,2023-01-13,2023-02-18
Ilupeju Lagos, FOR RENT: FOR RENT!!! NEWLY BUILT & TASTEFULLY FINISHED 2&3 BEDROOM FLATS!! FEATURES: *.. Read more ,Rent,1800000.0,2.0,3.0,3.0,Ilupeju,Mainland,1.0,0.0,0.0,2023-01-12,2023-02-18
Agungi Lekki Lagos, FOR RENT: Renovated & Spacious 2 Bedroom flat Location: Agungi Rent: N1.9million A.. Read more ,Rent,1900000.0,2.0,2.0,3.0,Lekki,Island,0.0,0.0,0.0,2023-01-31,2023-02-18
"Ilaje Road, Bariga Lagos", FOR RENT: NEWLY BUILT ROOM SELF & MINI FLAT FEATURES: UP FLOOR & GROUND FLOOR AVAILAB.. Read more ,Rent,500000.0,1.0,1.0,1.0,Bariga,Mainland,1.0,0.0,0.0,2023-01-25,2023-02-18
Phase 1 Gbagada Lagos, FOR RENT: FOR RENT!!!! TASTEFULLY FINISHED & FURNISHED 3 UNITS OF 3-BEDROOM TERRACE DUPLE.. Read more ,Rent,5000000.0,3.0,4.0,4.0,Gbagada,Mainland,1.0,0.0,0.0,2023-02-07,2023-02-18
Lekki Lagos, FOR RENT: Various Shop spaces are available within a secured and serene neighborhood for r.. Read more ,Rent,185000.0,0.0,0.0,0.0,Lekki,Island,0.0,0.0,0.0,2022-09-26,2023-02-18
Lekki Phase 1 Lekki Lagos," FOR RENT: Office Space of 110sqm Location : U3 estate Lekki right, Lekki Phase 1 Re.. Read more ",Rent,3500000.0,1.0,1.0,1.0,Lekki,Island,0.0,0.0,1.0,2023-02-13,2023-02-18
Osapa London Lekki Lagos, FOR RENT: A fully furnished 5 bedroom apartment is available for rent immediately at osap.. Read more ,Rent,12000000.0,5.0,5.0,6.0,Lekki,Island,0.0,0.0,0.0,2023-01-25,2023-02-18
Ikate Lekki Lagos, FOR RENT: A commercial property suitable for office and other commercial activities is ava.. Read more ,Rent,70000.0,0.0,0.0,0.0,Lekki,Island,0.0,0.0,0.0,2022-10-20,2023-02-18
Old Ikoyi Ikoyi Lagos," FOR RENT: 4 Bedroom Semi-Detached, a guest chalet & 3 rooms bq Location: Old Ikoyi, Ik.. Read more ",Rent,35000000.0,4.0,4.0,5.0,Ikoyi,Island,0.0,0.0,0.0,2023-01-21,2023-02-18
Lekki Right. Lekki Lagos, FOR RENT: Lovely 3 Bedroom Terrace Duplex Location: Lekki Right Rent: N6million ser.. Read more ,Rent,6000000.0,3.0,3.0,4.0,Lekki,Island,0.0,0.0,1.0,2023-01-21,2023-02-18
Chevron Lekki Lagos, FOR RENT: Newly Built 4 Bedroom Terrace Duplex with BQ; Location: Chevron Rent Price.. Read more ,Rent,4700000.0,4.0,4.0,5.0,Lekki,Island,1.0,0.0,1.0,2022-12-20,2023-02-18
Agungi Lekki Lagos, FOR RENT: 4 Bedroom Semi Detached Duplex & BQ Fitted Kitchen; Rent: N5million Agency.. Read more ,Rent,5000000.0,4.0,4.0,5.0,Lekki,Island,0.0,0.0,0.0,2022-12-20,2023-02-18
Ifako Gbagada Gbagada Lagos, FOR RENT: FOR RENT!!! RENOVATED 3BEDROOM FLAT!!! FEATURES: GROUNDFLOOR ALL R.. Read more ,Rent,3000000.0,3.0,4.0,4.0,Gbagada,Mainland,0.0,0.0,0.0,2022-12-12,2023-02-18
Agungi Lekki Lagos," FOR RENT: Nicely Built 4 Bedroom flat; Location: Agungi Rent: N3million Agency, l.. Read more ",Rent,3000000.0,4.0,4.0,5.0,Lekki,Island,0.0,0.0,0.0,2023-02-13,2023-02-18
"Off Brown Road, Surulere Lagos", FOR RENT: FOR RENT A SUPERB EXECUTIVE AND WELL-DESIGNED 2BEDROOM FLAT(DOWNSTAIRS)... .. Read more ,Rent,2500000.0,2.0,3.0,3.0,Surulere,Mainland,0.0,0.0,0.0,2023-01-25,2023-02-18
"Off Brown Road, Aguda Surulere Lagos", FOR RENT: FOR RENT!!! NEWLY BUILT 12 UNITS OF 2BEDROOM FLATS!!! .. Read more ,Rent,2000000.0,2.0,3.0,3.0,Surulere,Mainland,1.0,0.0,0.0,2023-01-05,2023-02-18
Osapa London Lekki Lagos, FOR RENT: 4 Bedroom Terrace with a room BQ; Location: Osapa London Rent: N4.5millio.. Read more ,Rent,4500000.0,4.0,4.0,5.0,Lekki,Island,0.0,0.0,1.0,2023-01-18,2023-02-18
Lekki Lagos," FOR RENT: Nicely Built Decently Finished 3 Bedroom Maisonette Location: Lekki, Phase 1.. Read more ",Rent,6500000.0,3.0,3.0,4.0,Lekki,Island,0.0,0.0,0.0,2023-01-25,2023-02-18
Orchid Lekki Lagos, FOR RENT: Tastefully Built 4 Bedroom Terrace Duplex; Location: Orchid Rent: N4mill.. Read more ,Rent,4000000.0,4.0,4.0,5.0,Lekki,Island,0.0,0.0,0.0,2023-02-07,2023-02-18
Orchid Road Chevron Lekki Lagos, FOR RENT: A newly built 4 bedroom semi detached duplex with BQ is available for rent immed.. Read more ,Rent,4500000.0,4.0,4.0,5.0,Lekki,Island,1.0,0.0,0.0,2022-12-11,2023-02-18
Banana Island Ikoyi Lagos," FOR RENT: Spacious 3 Bedroom flat with a bq; Location: Banana Island, Ikoyi Rent: N1.. Read more ",Rent,14000000.0,3.0,3.0,4.0,Ikoyi,Island,0.0,0.0,1.0,2023-01-20,2023-02-18
"Gbagada Phase 2 Estate, Gbagada Lagos", FOR RENT: FOR RENT RELATIVELY NEW 5-BEDROOM SEMI-DETACHED DUPLEX+ A ROOM BQ.... FEAT.. Read more ,Rent,8000000.0,5.0,6.0,6.0,Gbagada,Mainland,0.0,0.0,0.0,2022-12-05,2023-02-18
Osapa London Lekki Lagos," FOR RENT: Nicely Built 4 Bedroom Semi-Detached Duplex; Location: Osapa, Lagos Price.. Read more ",Rent,7500000.0,4.0,4.0,5.0,Lekki,Island,0.0,0.0,1.0,2023-01-18,2023-02-18
"Off Peace Estate, Aguda Surulere Lagos", FOR RENT: EXECUTIVE & MASSIVE NEWLY RENOVATED 3 BEDROOM FLAT!!! FEATURES: DOWNSTAIRS .. Read more ,Rent,2000000.0,3.0,4.0,4.0,Surulere,Mainland,0.0,0.0,0.0,2023-02-15,2023-02-18
Ikota Lekki Lagos," FOR RENT: Nicely Built 3 Bedroom Apartment; Location: Ikota, Lekki Rent: N3.5million.. Read more ",Rent,3500000.0,3.0,3.0,4.0,Lekki,Island,0.0,0.0,1.0,2023-01-22,2023-02-18
"Adeguwa Off Enitan, Aguda Surulere Lagos", FOR RENT: FOR RENT!!! 2 UNITS OF 2 BEDS FLAT+ MINIFLAT FEATURES: UPSTAIRS ALL R.. Read more ,Rent,1500000.0,2.0,3.0,3.0,Surulere,Mainland,0.0,0.0,1.0,2023-02-01,2023-02-18
Victoria Island Lagos," FOR RENT: 3 BEDROOM APARTMENT FOR RENT Location: VI , Lagos Price: 8 m per annum Othe.. Read more ",Rent,8000000.0,3.0,3.0,4.0,Victoria Island,Island,0.0,0.0,1.0,2023-02-13,2023-02-18
Ikeja Lagos, FOR RENT: SPACIOUS 4-BEDROOM DETACHED DUPLEX WITHIN A ESTATE!!! ( Suitable for both reside.. Read more ,Rent,9000000.0,4.0,4.0,5.0,Ikeja,Mainland,0.0,0.0,0.0,2023-02-07,2023-02-18
Agungi Lekki Lagos, FOR RENT: Nicely Built 2 Bedroom flat; Location: Agungi Rent: N2.8million Agency: .. Read more ,Rent,2800000.0,2.0,2.0,3.0,Lekki,Island,0.0,0.0,0.0,2023-02-13,2023-02-18
Ikoyi Lagos," FOR RENT: Spacious 3 Bedroom flat with a bq; Location: Old Ikoyi, Ikoyi Rent: N12mil.. Read more ",Rent,12000000.0,3.0,3.0,4.0,Ikoyi,Island,0.0,0.0,1.0,2023-01-20,2023-02-18
Adeniyi Jones Ikeja Lagos, FOR RENT: Tastefully furnished 3-bedroom ground floor flat + 1-room BQ in a beautiful min.. Read more ,Rent,160000000.0,0.0,0.0,0.0,Ikeja,Mainland,0.0,0.0,0.0,2023-02-14,2023-02-18
Ifako Gbagada Gbagada Lagos, FOR RENT: FOR RENT!!! RENOVATED 2-BEDROOM FLAT!!! FEATURES: UPSTAIRS & GROUNDFLOOR AVAI.. Read more ,Rent,2000000.0,2.0,3.0,3.0,Gbagada,Mainland,0.0,0.0,0.0,2023-01-12,2023-02-18
Ifako Gbagada Gbagada Lagos, FOR RENT: FOR RENT!!! RENOVATED & SPACIOUS MINIFLAT!!! FEATURES: UPSTAIRS ALL ROOMS EN.. Read more ,Rent,1800000.0,1.0,2.0,2.0,Gbagada,Mainland,0.0,0.0,0.0,2023-01-12,2023-02-18
Agungi Lekki Lagos, FOR RENT: Spacious & Serviced 3 Bedroom flat; Location: Agungi Rent: N2.8million Ag.. Read more ,Rent,2800000.0,3.0,3.0,4.0,Lekki,Island,0.0,0.0,0.0,2023-02-08,2023-02-18
"Emily Akinola Street, Akoka Yaba Lagos", FOR RENT: FOR RENT!!! ONGOING RENOVATION OF 3BEDROOM FLAT!!.. Read more ,Rent,1800000.0,3.0,4.0,4.0,Yaba,Mainland,0.0,0.0,0.0,2023-02-11,2023-02-18
"Wolemadariola Off Enitan, Aguda Surulere Lagos", FOR RENT: FOR RENT!!! . NEWLY BUILT 3BEDROOM FLAT!!! FEATURES: DOWNSTAI.. Read more ,Rent,2000000.0,3.0,4.0,4.0,Surulere,Mainland,1.0,0.0,0.0,2023-01-07,2023-02-18
