Location,Description,Listing_Type,Price,Beds,Baths,Toilets,City,Location_Area,Newly Built,Furnished,Serviced,Date_Added,Date_Updated
Iwaya Onike Bariga Lagos," FOR RENT: Exquisitely finished, clean and standard mini flat upstairs PEDRO IWAYA ONIKE, c.. Read more ",Rent,750000.0,,0.0,0.0,Bariga,Mainland,0.0,0.0,0.0,2023-01-20,2023-02-19
Adelabu Surulere Lagos, FOR RENT: 4 bedroom duplex off adelabu Street surulere Lagos .. Read more ,Rent,4500000.0,4.0,4.0,5.0,Surulere,Mainland,1.0,0.0,0.0,2023-01-12,2023-02-19
College Bus Stop Ikotun Igando Lagos," FOR RENT: NEW HOUSE 2 BEDROOM WITH WATER HEATER, INTERLOCK COMPOUND, WARDROBE, FITTED CABI.. Read more ",Rent,900000.0,2.0,0.0,0.0,Igando,Mainland,0.0,0.0,0.0,2023-02-10,2023-02-19
Kilo Marsha Surulere Lagos, FOR RENT: 2 bedroom flat at off marsha .. Read more ,Rent,2000000.0,2.0,2.0,4.0,Surulere,Mainland,1.0,0.0,0.0,2023-01-07,2023-02-19
Pedro Road Bariga Lagos, FOR RENT: 2 BEDROOM FLAT AT KUSA STR. OFF PEDRO RD. UPSTAIRS BOREHOLE WATER MALLAM SE.. Read more ,Rent,800000.0,2.0,0.0,0.0,Bariga,Mainland,0.0,0.0,0.0,2023-02-10,2023-02-19
Ogombo Ajah Lagos," FOR RENT: 3 bedroom flat To let in an estate at ogombo road lekki eti-osa ajah Lagos, year.. Read more ",Rent,1100000.0,3.0,0.0,0.0,Ajah,Island,0.0,0.0,0.0,2023-01-07,2023-02-19
Victoria Island Lagos, FOR RENT: LETTING IN VI Brand new tastefully finished luxury terraced houses in a very .. Read more ,Rent,25000000.0,4.0,0.0,0.0,Victoria Island,Island,0.0,0.0,0.0,2023-02-07,2023-02-19
Isheri Olofin Alimosho Lagos, FOR RENT: Nice Exquisite 3 Bedroom Duplex for rent.. Features All round tiles Two r.. Read more ,Rent,1100000.0,3.0,0.0,0.0,Alimosho,Mainland,0.0,0.0,0.0,2023-01-24,2023-02-19
Cele Ijesha Bus Stop Ijesha Surulere Lagos, FOR RENT: SUPERMARKET/BANKING HALL FOR LEASE AT CELE-IJESHA BUS STOP NEWLY RENOVATED .. Read more ,Rent,5000000.0,0.0,0.0,0.0,Surulere,Mainland,0.0,0.0,0.0,2022-12-05,2023-02-19
Meiran Alimosho Lagos," FOR RENT: Beautiful 2 Bedroom ensuite, pop fittings, Waldrop in all rooms pay and pack in... Read more ",Rent,500000.0,2.0,0.0,0.0,Alimosho,Mainland,0.0,0.0,0.0,2023-01-30,2023-02-19
Shoprite Monastery Road Sangotedo Lagos, FOR RENT: *Juicy Offer* House For Lease A massive five (5) bedroom duplex in front a.. Read more ,Rent,18000000.0,10.0,0.0,0.0,Sangotedo,Mainland,0.0,0.0,0.0,2023-01-12,2023-02-19
P&t Estate Ipaja Lagos, FOR RENT: 2 bedroom flat apartment all rooms en-suit full pop wardrobe Italian tiles ample.. Read more ,Rent,800000.0,2.0,0.0,0.0,Ipaja,Mainland,0.0,0.0,0.0,2023-02-10,2023-02-19
Command Ipaja Lagos, FOR RENT: To Let Decent Mini Flat Fence Gate Water All round tiles Floored Compound .. Read more ,Rent,350000.0,1.0,0.0,0.0,Ipaja,Mainland,0.0,0.0,0.0,2023-02-07,2023-02-19
New Oko Oba Abule Egba Lagos, FOR RENT: Executive newly built 2 bedroom duplex and 2 bedroom flats in the same compound... Read more ,Rent,1200000.0,2.0,0.0,0.0,Abule Egba,Mainland,0.0,0.0,0.0,2023-01-19,2023-02-19
Estate Oregun Ikeja Lagos, FOR RENT: Newly renovated 3 bedroom apartment in a gated close in oregun .. Read more ,Rent,1500000.0,3.0,3.0,3.0,Ikeja,Mainland,1.0,0.0,0.0,2023-01-30,2023-02-18
Estate Toyin Street Ikeja Lagos, FOR RENT: Lovely 2 bedroom apartment in gated close off Toyin street. Enough parking spa.. Read more ,Rent,2000000.0,2.0,2.0,2.0,Ikeja,Mainland,1.0,0.0,0.0,2023-02-16,2023-02-18
Ajayi Road Ogba Lagos," FOR RENT: A fully functioning 22 rooms hotel with steady power supply, a club house, a lar.. Read more ",Rent,1600000.0,10.0,0.0,0.0,Ogba,Mainland,1.0,0.0,0.0,2023-02-16,2023-02-18
Heart Of Victoria Island Victoria Island Lagos, FOR RENT: 4 bedroom House for rent Heart Of Victoria Island Victoria Island Lagos Caution.. Read more ,Rent,15000000.0,3.0,3.0,4.0,Victoria Island,Island,1.0,0.0,1.0,2023-02-16,2023-02-18
Chevron Toll Gate Orchid Chevron Lekki Lagos," FOR RENT: 4 BEDROOM SEMI DETACHED DUPLEX FOR RENT!!! Location: Orchid, Lekki, Lagos???.. Read more ",Rent,3800000.0,4.0,4.0,5.0,Lekki,Island,1.0,0.0,1.0,2023-02-18,2023-02-18
