,Location,Price_Period,Date_Added_Updated,Description,Serviced,Bed_Bath_Toilet
15,Opic Estate Isheri North Ojodu Lagos,"3,500,000/year","  Updated 19 Feb 2023, Added 09 Jan 2023 "," FOR RENT: FOR RENT: Luxury Finished 5 Bedroom Detached Duplex at Opic Estate, Lagos. .. Read more ",Newly Built,5 beds5 baths6 Toilets
16,Along Collega Road Ogba Lagos,"5,000,000/year","  Updated 19 Feb 2023, Added 27 Sep 2022 ", FOR RENT: Hot lease Commercial Space Building About 300sqm size With 2 Toilet Each fl.. Read more ,,0 beds0 baths0 Toilets
17,Opic Estate Isheri North Ojodu Lagos,"1,500,000/year","  Updated 19 Feb 2023, Added 09 Jan 2023 "," FOR RENT: TO LET: Brand New 3 bedroom flat at Opic, isheri North GRA, Lagos. FEATURES :.. Read more ",Newly Built,3 beds3 baths4 Toilets
18,"New Oko Oba ,alhaja Kehinde Street .beckley Estate Abule Egba Lagos","4,000,000/year","  Updated 19 Feb 2023, Added 22 Sep 2022 ", FOR RENT: WAREHOUSE FOR LEASE. Direct lease/rent a warehouse on half plot of land with p.. Read more ,,0 beds0 baths0 Toilets
19,Opic Estate Isheri North Ojodu Lagos,"3,000,000/year","  Updated 19 Feb 2023, Added 09 Jan 2023 "," FOR RENT: FOR RENT: Tastefully Finished 4 Bedroom Detached Duplex at Opic Estate, Lagos. .. Read more ",Newly Built,4 beds4 baths5 Toilets
20,Parkview Estate Ikoyi Lagos,"10,000,000/year","  Updated 19 Feb 2023, Added 08 Feb 2023 ", FOR RENT: FOR RENT: Nicely Finished & Serviced 3 Bedroom Terrace House with Boy's Quarter .. Read more ,Serviced,3 beds3 baths4 Toilets
21,Ikota Lekki Lagos,"3,500,000/year","  Updated 19 Feb 2023, Added 08 Dec 2022 "," FOR RENT: FOR RENT: Strategically Located, Well Finished 4 Bedroom Semi-Detached Duplex at.. Read more ",Newly Built,4 beds4 baths5 Toilets
22,Parkview Estate Ikoyi Lagos,"10,000,000/year","  Updated 19 Feb 2023, Added 08 Feb 2023 ", FOR RENT: FOR RENT: Nicely Finished & Serviced 3 Bedroom Terrace House with Boy's Quarter .. Read more,Serviced,3 beds3 baths4 Toilets
23,Budland Street Ojodu Grammar School Ojodu Lagos,"600,000/year","  Updated 19 Feb 2023, Added 30 Sep 2022 ", FOR RENT: Very Standard Big Shop and big extension with personal toilet Location: Budla.. Read more ,,0 beds0 baths0 Toilets
24,"Along Agege Motor Way, Between Ladipo Bus Stop And Bolade Bus Stop, Opposite Arena Market, Bolade Oshodi Lagos","81,000,000/year","  Updated 19 Feb 2023, Added 30 Sep 2022 ", FOR RENT: Warehouse for lease A shared compound 2700 square metres warehouse with office.. Read more ,,0 beds0 baths0 Toilets
25,Facing The Road Egbeda Alimosho Lagos,"3,000,000/year","  Updated 19 Feb 2023, Added 30 Sep 2022 ", FOR RENT: Large space for eatery or any commercial activities at egbeda facing the road 3m.. Read more ,,0 beds0 baths2 Toilets
26,Iwaya Onike Bariga Lagos,"750,000/year","  Updated 19 Feb 2023, Added 20 Jan 2023 "," FOR RENT: Exquisitely finished, clean and standard mini flat upstairs PEDRO IWAYA ONIKE, c.. Read more ",, beds0 baths0 Toilets
27,Adelabu Surulere Lagos,"4,500,000/year","  Updated 19 Feb 2023, Added 12 Jan 2023 ", FOR RENT: 4 bedroom duplex off adelabu Street surulere Lagos .. Read more ,Newly Built,4 beds4 baths5 Toilets
28,College Bus Stop Ikotun Igando Lagos,"900,000/year","  Updated 19 Feb 2023, Added 10 Feb 2023 "," FOR RENT: NEW HOUSE 2 BEDROOM WITH WATER HEATER, INTERLOCK COMPOUND, WARDROBE, FITTED CABI.. Read more ",,2 beds0 baths0 Toilets
29,Kilo Marsha Surulere Lagos,"2,000,000/year","  Updated 19 Feb 2023, Added 07 Jan 2023 ", FOR RENT: 2 bedroom flat at off marsha .. Read more ,Newly Built,2 beds2 baths4 Toilets
30,Pedro Road Bariga Lagos,"800,000/year","  Updated 19 Feb 2023, Added 10 Feb 2023 ", FOR RENT: 2 BEDROOM FLAT AT KUSA STR. OFF PEDRO RD. UPSTAIRS BOREHOLE WATER MALLAM SE.. Read more ,,2 beds0 baths0 Toilets
31,Ogombo Ajah Lagos,"1,100,000/year","  Updated 19 Feb 2023, Added 07 Jan 2023 "," FOR RENT: 3 bedroom flat To let in an estate at ogombo road lekki eti-osa ajah Lagos, year.. Read more ",,3 beds0 baths0 Toilets
32,Life Camp Abuja,"70,000/day","  Updated 19 Feb 2023, Added 14 Dec 2022 "," FOR SHORTLET: This Clean and secure haven located in the most beautiful suburbs in Life Camp, .. Read more",FurnishedServiced,4 beds4 baths5 Toilets
33,Victoria Island Lagos,"25,000,000/year","  Updated 19 Feb 2023, Added 07 Feb 2023 ", FOR RENT: LETTING IN VI Brand new tastefully finished luxury terraced houses in a very .. Read more ,,4 beds0 baths0 Toilets
34,Isheri Olofin Alimosho Lagos,"1,100,000/year","  Updated 19 Feb 2023, Added 24 Jan 2023 ", FOR RENT: Nice Exquisite 3 Bedroom Duplex for rent.. Features All round tiles Two r.. Read more ,,3 beds0 baths0 Toilets
35,Cele Ijesha Bus Stop Ijesha Surulere Lagos,"5,000,000/year","  Updated 19 Feb 2023, Added 05 Dec 2022 ", FOR RENT: SUPERMARKET/BANKING HALL FOR LEASE AT CELE-IJESHA BUS STOP NEWLY RENOVATED .. Read more ,,0 beds0 baths0 Toilets
36,Meiran Alimosho Lagos,"500,000/year","  Updated 19 Feb 2023, Added 30 Jan 2023 "," FOR RENT: Beautiful 2 Bedroom ensuite, pop fittings, Waldrop in all rooms pay and pack in... Read more ",,2 beds0 baths0 Toilets
37,Shoprite Monastery Road Sangotedo Lagos,"18,000,000/year","  Updated 19 Feb 2023, Added 12 Jan 2023 ", FOR RENT: *Juicy Offer* House For Lease A massive five (5) bedroom duplex in front a.. Read more ,,10 beds10 baths10 Toilets
38,P&t Estate Ipaja Lagos,"800,000/year","  Updated 19 Feb 2023, Added 10 Feb 2023 ", FOR RENT: 2 bedroom flat apartment all rooms en-suit full pop wardrobe Italian tiles ample.. Read more ,,2 beds0 baths0 Toilets
39,Command Ipaja Lagos,"350,000/year","  Updated 19 Feb 2023, Added 07 Feb 2023 ", FOR RENT: To Let Decent Mini Flat Fence Gate Water All round tiles Floored Compound .. Read more ,,1 beds0 baths0 Toilets
40,New Oko Oba Abule Egba Lagos,"1,200,000/year","  Updated 19 Feb 2023, Added 19 Jan 2023 ", FOR RENT: Executive newly built 2 bedroom duplex and 2 bedroom flats in the same compound... Read more ,,2 beds0 baths0 Toilets
41,Estate Oregun Ikeja Lagos,"1,500,000/year","  Updated 18 Feb 2023, Added 30 Jan 2023 ", FOR RENT: Newly renovated 3 bedroom apartment in a gated close in oregun .. Read more ,Newly Built,3 beds3 baths3 Toilets
42,Estate Toyin Street Ikeja Lagos,"2,000,000/year","  Updated 18 Feb 2023, Added 16 Feb 2023 ", FOR RENT: Lovely 2 bedroom apartment in gated close off Toyin street. Enough parking spa.. Read more ,Newly Built,2 beds2 baths2 Toilets
43,Ajayi Road Ogba Lagos,"1,600,000/year","  Updated 18 Feb 2023, Added 16 Feb 2023 "," FOR RENT: A fully functioning 22 rooms hotel with steady power supply, a club house, a lar.. Read more ",Newly Built,10 beds10 baths10 Toilets
44,Thera Peace Zone Estate Sangotedo Ajah Lagos,"2,000,000/year",  Added 17 Feb 2023 , FOR RENT: Available Now! SARAH'S PARADISE APARTMENT Impeccable Brand New 2 Bedroom Fu.. Read more,FurnishedServicedNewly Built,2 beds2 baths3 Toilets
45,Heart Of Victoria Island Victoria Island Lagos,"15,000,000/year","  Updated 18 Feb 2023, Added 16 Feb 2023 ", FOR RENT: 4 bedroom House for rent Heart Of Victoria Island Victoria Island Lagos Caution.. Read more ,ServicedNewly Built,3 beds3 baths4 Toilets
46,Chevron Toll Gate Orchid Chevron Lekki Lagos,"3,800,000",  Added 18 Feb 2023 ," FOR RENT: 4 BEDROOM SEMI DETACHED DUPLEX FOR RENT!!! Location: Orchid, Lekki, Lagos???.. Read more ",ServicedNewly Built,4 beds4 baths5 Toilets
47,Chevron Toll Gate Orchid Chevron Lekki Lagos,"6,500,000",  Added 18 Feb 2023 ," FOR RENT: 4 BEDROOM SEMI DETACHED DUPLEX FOR RENT!!! Location: Orchid , Lagos?????? Re.. Read more ",ServicedNewly Built,4 beds4 baths5 Toilets
48,Chevron Lekki Lagos,"6,000,000/year","  Updated 18 Feb 2023, Added 12 Dec 2022 "," FOR RENT: 4 Bedroom Semi-Detached Duplex for Rent — 4 Bed, 4 Baths Chevron, Lekki,.. Read more ",Newly Built,4 beds5 baths5 Toilets
49,Chevron Lekki Lagos,"3,800,000/year","  Updated 18 Feb 2023, Added 12 Jan 2023 "," FOR RENT: 4 Bedroom Terrace Duplex for Rent 4 Bedroom, 4 Baths Orchid, Lekki, Lagos 3.. Read more ",ServicedNewly Built,4 beds5 baths5 Toilets
50,Chevron Lekki Lagos,"6,000,000/year","  Updated 18 Feb 2023, Added 12 Jan 2023 ", FOR RENT: FULLY FURNISHED 4 BEDROOM SEMI- DETACHED DUPLEX FOR RENT!!! Location: Chevro.. Read more ,,4 beds5 baths5 Toilets
51,Chevron Lekki Lagos,"4,000,000/year","  Updated 18 Feb 2023, Added 31 Jan 2023 "," FOR RENT: 4 BEDROOM SEMI DETACHED DUPLEX FOR RENT!!! Location: Orchid, Lekki, Lagos Ren.. Read more ",ServicedNewly Built,4 beds5 baths5 Toilets
52,Chevron Toll Chevron Lekki Lagos,"5,000,000/year","  Updated 18 Feb 2023, Added 07 Dec 2022 ", FOR RENT: 4 BEDROOM SEMI DETACHED DUPLEX FOR RENT Price: N5m per annum Other Charge.. Read more ,ServicedNewly Built,0 beds5 baths5 Toilets
53,Ikate Lekki Lagos,"5,000,000/year","  Updated 18 Feb 2023, Added 26 Jan 2023 "," FOR RENT: Luxury Apartments for Rent Studio Apartment 1 Bed, 1 Bath Ikate, Lekki, L.. Read more ",ServicedNewly Built,2 beds3 baths3 Toilets
54,Life Camp Abuja,"22,500,000","  Updated 19 Feb 2023, Added 30 Jan 2023 ", FOR SALE: A fully automated 4 bedroom flat in the heart of Lifecamp located in a serene en.. Read more,,4 beds5 baths5 Toilets
55,Osapa London Lekki Lagos,"6,500,000/year","  Updated 18 Feb 2023, Added 21 Nov 2022 ", FOR RENT: To Let Beautiful Built 4 Bedroom Semi Detached Duplex Rent: N6.5M Agent.. Read more ,Newly Built,4 beds5 baths5 Toilets
56,Old Ikoyi Ikoyi Lagos,"15,000,000/year","  Updated 18 Feb 2023, Added 15 Feb 2023 ", FOR RENT: 3 Bedroom Apartment For Rent. DETAILS >>>> Ikoyi N15M per annum Othe.. Read more ,ServicedNewly Built,3 beds4 baths4 Toilets
57,Ikota Lekki Lagos,"4,500,000/year","  Updated 18 Feb 2023, Added 02 Feb 2023 "," FOR RENT: 4 BEDROOM SEMI DETACHED DUPLEX FOR RENT!!! Location: Ikota, Lagos Rent: 4.5.. Read more ",Newly Built,4 beds5 baths5 Toilets
58,"Off Banana Island Road, Directly Facing The Banana Island Gate Banana Island Ikoyi Lagos","18,000,000/year","  Updated 18 Feb 2023, Added 15 Dec 2022 ", FOR RENT: Spacious 5-bedroom semi-detached duplex with a bq N18M (2 years advance requ.. Read more ,Serviced,5 beds6 baths6 Toilets
59,Ikate Lekki Lagos,"7,000,000/year","  Updated 18 Feb 2023, Added 26 Jan 2023 "," FOR RENT: Luxury Apartments for Rent Studio Apartment 1 Bed, 1 Bath Ikate, Lekki, L.. Read more ",ServicedNewly Built,3 beds4 baths4 Toilets
60,Ikota Lekki Lagos,"3,000,000","  Updated 18 Feb 2023, Added 29 Jan 2023 "," FOR RENT: 2 BEDROOM APARTMENT Location: Ikota , Lagos Price: 3m per annum Other Cha.. Read more ",ServicedNewly Built,2 beds3 baths3 Toilets
61,Chevron Lekki Lagos,"4,000,000/year","  Updated 18 Feb 2023, Added 12 Dec 2022 "," FOR RENT: 4 Bedroom Terrace Duplex for Rent — 4 Bed, 4 Baths Chevron, Lekki, Lagos.. Read more ",Serviced,4 beds5 baths5 Toilets
62,Idado Lekki Lagos,"3,500,000/year","  Updated 18 Feb 2023, Added 13 Feb 2023 "," FOR RENT: 3 Bedroom Apartment for Rent — 3 Bed, 3 Baths Idado, Lekki, Lagos ?3,500.. Read more ",ServicedNewly Built,3 beds4 baths4 Toilets
63,Ikota Lekki Lagos,"5,000,000/year","  Updated 18 Feb 2023, Added 07 Nov 2022 "," FOR RENT: Executively finished 4 bedrooms fully detached duplex Location- Ikota, Lekki.. Read more ",Newly Built,4 beds5 baths5 Toilets
64,Ikota Lekki Lagos,"4,500,000/year","  Updated 18 Feb 2023, Added 08 Jan 2023 ", FOR RENT: TO LET 4 BEDROOM FULLY DETACHED DUPLEX FOR RENT!! Price: N4.5M Other Ch.. Read more ,Newly Built,4 beds5 baths5 Toilets
65,Osapa London Lekki Lagos,"3,000,000/year","  Updated 18 Feb 2023, Added 25 Jan 2023 ", FOR RENT: FOR RENT !!! 3 BEDROOM SERVICED APARTMENT FOR RENT !!! Location: Osapa Lond.. Read more ,Serviced,3 beds4 baths4 Toilets
66,Thera Peace Zone Estate Sangotedo Ajah Lagos,"2,000,000/year",  Added 17 Feb 2023 , FOR RENT: Available Now! SARAH'S PARADISE APARTMENT Impeccable Brand New 2 Bedroom Fu.. Read more,FurnishedServicedNewly Built,2 beds2 baths3 Toilets
67,Ikate Lekki Lagos,"4,000,000/year","  Updated 18 Feb 2023, Added 02 Feb 2023 ", FOR RENT: FOR RENT!!! 2 BEDROOM SERVICED APARTMENT FOR RENT!!! Location: Ikate Rent: .. Read more ,ServicedNewly Built,2 beds3 baths3 Toilets
68,Chevron Lekki Lagos,"5,500,000/year","  Updated 18 Feb 2023, Added 13 Dec 2022 "," FOR RENT: 4 Bedroom Semi-Detached Duplex for Rent — 4 Bed, 4 Baths Chevron, Lekki,.. Read more ",,4 beds5 baths5 Toilets
69,Victoria Island Lagos,"20,000,000/year","  Updated 18 Feb 2023, Added 10 Feb 2023 ", FOR RENT: 4 BEDROOM TERRACE DUPLEX IN VICTORIA ISLAND Location - Victoria Island Listi.. Read more ,FurnishedNewly Built,4 beds5 baths5 Toilets
70,Chevron Lekki Lagos,"4,500,000/year","  Updated 18 Feb 2023, Added 14 Nov 2022 "," FOR RENT: 4 Bedroom Terrace Duplex for Rent — 4 Bedroom, 4 Baths Orchid, Lekki, Lago.. Read more ",ServicedNewly Built,4 beds5 baths5 Toilets
71,Idado Lekki Lagos,"3,000,000/year","  Updated 18 Feb 2023, Added 11 Jan 2023 ", FOR RENT: FULLY SERVICED 3 BEDROOM APARTMENT WITH A BQ (penthouse) IDADO LEKKI REN.. Read more ,Serviced,3 beds4 baths4 Toilets
72,Chevron Toll Gate Chevron Lekki Lagos,"4,000,000/year","  Updated 18 Feb 2023, Added 19 Oct 2022 ", FOR RENT: TO LET Newly built and spacious 4 bedroom terrace duplex with fitted kitchen.. Read more ,,0 beds5 baths5 Toilets
73,Ikate Lekki Lagos,"8,500,000/year","  Updated 18 Feb 2023, Added 13 Feb 2023 "," FOR RENT: 4 Bedroom Semi-Detached Duplex for Rent — 4 Bed, 4 Baths Ikate, Lekki, Lag.. Read more ",ServicedNewly Built,4 beds5 baths5 Toilets
74,Jakande Lekki Lagos,"8,000,000/year","  Updated 18 Feb 2023, Added 08 Feb 2023 ", FOR RENT: Wow 4 BEDROOM TERRACE APARTMENT WITH 2 BALCONIES AND A POOL 4 BEDROOMS WITH .. Read more ,ServicedNewly Built,4 beds5 baths5 Toilets
75,Orchid Chevron Lekki Lagos,"6,500,000/year","  Updated 18 Feb 2023, Added 14 Feb 2023 ", FOR RENT: 4 BEDROOM FULLY DETACHED DUPLEX with BQ and Study Room FOR RENT Location: Orc.. Read more ,FurnishedNewly Built,4 beds5 baths5 Toilets
76,Ikota Lekki Lagos,"85,000,000","  Updated 19 Feb 2023, Added 07 Sep 2022 ", FOR SALE: Features: - All Rooms Ensuite - Spacious Compound - Fitted Kitchen - Stampe.. Read more,,4 beds4 baths4 Toilets
77,Ikate Lekki Lagos,"5,000,000/year","  Updated 18 Feb 2023, Added 29 Jan 2023 "," FOR RENT: 2 BEDROOM APARTMENT FOR RENT !!! Location: Ikate ,Lagos Price: 5m per annum .. Read more ",ServicedNewly Built,2 beds3 baths3 Toilets
78,Ajah Lagos,"5,000,000/year","  Updated 18 Feb 2023, Added 09 Jan 2023 "," FOR RENT: 4 Bedroom Detached Duplex for Rent — 4 Bed, 4 Baths Ajah, Lekki, Lagos .. Read more ",,4 beds5 baths5 Toilets
79,Vgc Lekki Lagos,"4,500,000/year","  Updated 18 Feb 2023, Added 09 Jan 2023 "," FOR RENT: 4 Bedroom Semi-Detached Duplex for Rent — 4 Bed, 4 Baths VGC, Lekki, Lagos.. Read more ",ServicedNewly Built,4 beds5 baths5 Toilets
80,Agungi Lekki Lagos,"8,000,000/year","  Updated 18 Feb 2023, Added 26 Jan 2023 ", FOR RENT: TO LET Newly built and Spacious 5 bedroom Fully detached duplex with fitted .. Read more ,Newly Built,5 beds6 baths6 Toilets
81,Chevron Toll Gate Chevron Lekki Lagos,"10,000,000/year","  Updated 18 Feb 2023, Added 29 Jan 2023 "," FOR RENT: 5 BEDROOM FULLY DETACHED DUPLEX FOR RENT!!! Location: Orchid, Lagos?????? R.. Read more ",Newly Built,5 beds6 baths6 Toilets
82,Lekki Palm City Ajah Lagos,"4,000,000/year","  Updated 18 Feb 2023, Added 16 Jan 2023 "," FOR RENT: 4 BEDROOM DETACHED DUPLEX FOR RENT !!! Location: Ajah, Lagos Price: 4m per .. Read more ",Newly Built,4 beds5 baths5 Toilets
83,Ajah Lagos,"5,000,000/year","  Updated 18 Feb 2023, Added 08 Nov 2022 "," FOR RENT: 4 bedroom detached duplex with bq, spacious rooms in a well Serene environment i.. Read more ",Newly Built,4 beds5 baths5 Toilets
84,Chevron Lekki Lagos,"5,000,000/year","  Updated 18 Feb 2023, Added 03 Feb 2023 "," FOR RENT: 4 BEDROOM TERRACE DUPLEX FOR RENT !!! Location: Chevron, Lagos Price: 5m pe.. Read more ",Serviced,4 beds5 baths5 Toilets
85,Chevron Lekki Lagos,"3,000,000/year","  Updated 18 Feb 2023, Added 23 Jan 2023 "," FOR RENT: 3 BEDROOM FLAT WITH BQ FOR RENT !!! Location: Chevron , Lagos Price: 3m Per .. Read more ",Serviced,3 beds4 baths4 Toilets
86,Banana Island Ikoyi Lagos,"13,500,000/year","  Updated 18 Feb 2023, Added 11 Jan 2023 ", FOR RENT: For Rent: Fully serviced well maintained 3bedroom flat in a waterfront mini esta.. Read more ,Serviced,3 beds4 baths4 Toilets
87,Vgc Lekki Lagos,"3,300,000/year","  Updated 18 Feb 2023, Added 31 Jan 2023 "," FOR RENT: 4 BEDROOM TERRACE DUPLEX FOR RENT!!! Location: Vgc, Lagos Rent: 3.3m per an.. Read more ",ServicedNewly Built,4 beds5 baths5 Toilets
88,Ikota Lekki Lagos,"3,000,000","  Updated 14 Feb 2023, Added 20 Dec 2022 ", FOR RENT: Newly built 3 bedroom terrace duplex in a new serviced estate by VGC. It is full.. Read more,ServicedNewly Built,3 beds3 baths4 Toilets
89,Old Ikoyi Ikoyi Lagos,"25,000,000/year","  Updated 18 Feb 2023, Added 10 Feb 2023 ", FOR RENT: FOR RENT NEWLY BUILT AND WELL FINISHED 4 BEDROOM MANSIONNATE - Lovely Arc.. Read more ,,0 beds0 baths0 Toilets
90,Victoria Island Lagos,"12,000,000/year","  Updated 18 Feb 2023, Added 14 Feb 2023 ", FOR RENT: A 3 bedroom Apartment For Rent Price: 12 Million Naira Location:Victoria.. Read more ,ServicedNewly Built,3 beds4 baths4 Toilets
91,Chevron Toll Gate Chevron Lekki Lagos,"4,500,000/year","  Updated 18 Feb 2023, Added 11 Jan 2023 "," FOR RENT: 4 BEDROOM SEMI DETACHED DUPLEX FOR RENT!!! Location: Orchid, Lagos Rent: 4... Read more ",Newly Built,4 beds5 baths5 Toilets
92,Orchid Chevron Lekki Lagos,"3,700,000/year","  Updated 18 Feb 2023, Added 14 Feb 2023 "," FOR RENT: Location: Orchid, Lekki Bedroom apartments: 3.7M Other Charges: Agency: 10%.. Read more ",FurnishedServicedNewly Built,3 beds4 baths4 Toilets
93,Ikate Lekki Lagos,"4,000,000/year","  Updated 18 Feb 2023, Added 01 Feb 2023 "," FOR RENT: 2 Bedroom Apartment for Rent — *** 2 Bed, 2 Bathroom ***Ikate, Lekki, **.. Read more ",ServicedNewly Built,2 beds3 baths3 Toilets
94,Chevron Lekki Lagos,"2,500,000/year","  Updated 18 Feb 2023, Added 19 Jan 2023 "," FOR RENT: 2 BEDROOM APARTMENT FOR RENT !!! Location: Chevron, Lagos Price: 2.5m per a.. Read more ",Serviced,2 beds3 baths3 Toilets
95,Ologolo Lekki Lagos,"2,700,000/year","  Updated 18 Feb 2023, Added 12 Dec 2022 "," FOR RENT: 2 Bedroom Apartment for Rent — 2 Bed, 2 Baths Ologolo, Lekki, Lagos 2,70.. Read more ",ServicedNewly Built,2 beds3 baths3 Toilets
96,Ikate Lekki Lagos,"10,000,000/year","  Updated 18 Feb 2023, Added 27 Jan 2023 ", FOR RENT: TO LET Tastefully Finished 5 Bedroom Fully Detached Duplex. Location Ik.. Read more ,ServicedNewly Built,5 beds6 baths6 Toilets
97,Oyibo Adjoha Street Off Admiralty Way Lekki Phase 1 Lekki Lagos,"12,500,000/year","  Updated 18 Feb 2023, Added 16 Jan 2023 ", FOR RENT: FOR RENT 5 BEDROOM DETACHED DUPLEX WITH 2 ROOMS BQ WITHIN A SERENE NEIGHBOURHO.. Read more ,,5 beds5 baths7 Toilets
98,Omole Phase 2 Ojodu Lagos,"270,000,000","  Updated 19 Feb 2023, Added 21 Jan 2023 ", FOR SALE: A detailed finished 5 Bedroom Duplex in Omole phase 2 Ojodu Lagos Nigeria. (with.. Read more,Newly Built,6 beds7 baths7 Toilets
99,Victoria Island Lagos,"15,000,000/year","  Updated 18 Feb 2023, Added 07 Feb 2023 ", FOR RENT: 5 BEDROOM PENTHOUSE IN VICTORIA ISLAND FOR RENTAL Location - Victoria Island .. Read more ,FurnishedNewly Built,5 beds6 baths6 Toilets
100,Oniru Victoria Island Lagos,"10,000,000/year","  Updated 18 Feb 2023, Added 12 Dec 2022 "," FOR RENT: 4 Bedroom Terrace Duplex for Rent — 4 Bed, 4 Baths Oniru,Victoria Island.. Read more ",ServicedNewly Built,4 beds5 baths5 Toilets
101,Ikota Lekki Lagos,"5,500,000/year","  Updated 18 Feb 2023, Added 09 Jan 2023 "," FOR RENT: 4 Bedroom Semi-Detached Duplex for Rent — 4 Bed, 4 Baths Ikota, Lekki, L.. Read more ",Newly Built,4 beds5 baths5 Toilets
102,Chevron Lekki Lagos,"4,000,000/year","  Updated 18 Feb 2023, Added 16 Jan 2023 "," FOR RENT: 4 BEDROOM TERRACE DUPLEX FOR RENT!!! Location: Chevron, Lagos Rent: 4m per .. Read more ",Serviced,4 beds5 baths5 Toilets
103,Chevron Lekki Lagos,"5,000,000/year","  Updated 18 Feb 2023, Added 26 Jan 2023 "," FOR RENT: 4 Bedroom Semi-Detached Duplex for Rent 4 Bed, 4 Baths Second Toll Gate, Le.. Read more ",Newly Built,4 beds5 baths5 Toilets
104,Ikate Lekki Lagos,"5,000,000/year","  Updated 18 Feb 2023, Added 19 Jan 2023 "," FOR RENT: 4 BEDROOM TERRACE DUPLEX FOR RENT!!! Location: Ikate, Lagos Rent: 5m per an.. Read more ",ServicedNewly Built,4 beds5 baths5 Toilets
